sep=,
sprint,systemTime,modelTime,taskID,storyPoints,start/end,BackEnd Exp,FrontEnd Exp,Design Exp
1,5,0,48,1,start,6.0,6.0,6.0
1,755,2,48,1,end,6.0,6.15,6.15
1,768,2,206,4,start,6.0,6.15,6.15
1,4519,12,206,4,end,6.6,6.15,6.15
1,4524,12,168,6,start,6.6,6.15,6.15
1,10524,28,168,6,end,6.6,7.050000000000001,7.050000000000001
2,53,80,52,1,start,6.6,7.050000000000001,7.050000000000001
2,804,82,52,1,end,6.75,7.200000000000001,7.200000000000001
2,825,82,103,5,start,6.75,7.200000000000001,7.200000000000001
2,5700,95,103,5,end,6.75,7.200000000000001,7.950000000000001
2,5704,95,194,5,start,6.75,7.200000000000001,7.950000000000001
2,10580,108,194,5,end,6.75,7.950000000000001,8.700000000000001
2,10584,108,135,10,start,6.75,7.950000000000001,8.700000000000001
2,20335,134,135,10,end,8.25,7.950000000000001,10.200000000000001
3,24,160,180,2,start,8.25,7.950000000000001,10.200000000000001
3,1900,165,180,2,end,8.55,7.950000000000001,10.200000000000001
3,1906,165,310,4,start,8.55,7.950000000000001,10.200000000000001
3,5656,175,310,4,end,8.55,8.55,10.8
3,5660,175,257,9,start,8.55,8.55,10.8
3,14660,199,257,9,end,8.55,8.55,12.15
3,14666,199,256,10,start,8.55,8.55,12.15
3,24417,225,256,10,end,10.05,8.55,13.65
4,21,240,228,2,start,10.05,8.55,13.65
4,1896,245,228,2,end,10.05,8.850000000000001,13.950000000000001
4,1904,245,316,4,start,10.05,8.850000000000001,13.950000000000001
4,5654,255,316,4,end,10.65,9.450000000000001,13.950000000000001
4,5659,255,66,10,start,10.65,9.450000000000001,13.950000000000001
4,15409,281,66,10,end,10.65,10.950000000000001,13.950000000000001
4,15417,281,34,8,start,10.65,10.950000000000001,13.950000000000001
4,23293,302,34,8,end,11.85,12.15,15.15
5,36,320,129,3,start,11.85,12.15,15.15
5,3036,328,129,3,end,11.85,12.15,15.6
5,3040,328,69,5,start,11.85,12.15,15.6
5,7916,341,69,5,end,11.85,12.9,16.35
5,7921,341,252,5,start,11.85,12.9,16.35
5,12796,354,252,5,end,12.6,13.65,17.1
5,12801,354,9,6,start,12.6,13.65,17.1
5,18801,370,9,6,end,13.5,14.55,18.0
5,18807,370,284,10,start,13.5,14.55,18.0
5,28558,396,284,10,end,15.0,16.05,19.5
6,24,400,208,2,start,15.0,16.05,19.5
6,1900,405,208,2,end,15.0,16.05,19.8
6,1904,405,291,4,start,15.0,16.05,19.8
6,5654,415,291,4,end,15.6,16.650000000000002,20.400000000000002
6,5659,415,341,10,start,15.6,16.650000000000002,20.400000000000002
6,11659,431,341,10,end,15.6,16.650000000000002,21.900000000000002
6,11665,431,61,9,start,15.6,16.650000000000002,21.900000000000002
6,18416,449,61,9,end,16.95,16.650000000000002,23.250000000000004
6,18420,449,108,10,start,16.95,16.650000000000002,23.250000000000004
6,26295,470,108,10,end,18.45,18.150000000000002,24.750000000000004
7,40,480,97,3,start,18.45,18.150000000000002,24.750000000000004
7,1541,484,97,3,end,18.45,18.150000000000002,25.200000000000003
7,1543,484,274,4,start,18.45,18.150000000000002,25.200000000000003
7,5294,494,274,4,end,19.05,18.150000000000002,25.200000000000003
7,5296,494,261,6,start,19.05,18.150000000000002,25.200000000000003
7,8672,503,261,6,end,19.05,18.150000000000002,26.1
7,8678,503,399,8,start,19.05,18.150000000000002,26.1
7,13178,515,399,8,end,19.05,18.150000000000002,27.3
7,13182,515,188,7,start,19.05,18.150000000000002,27.3
7,18433,529,188,7,end,19.05,19.200000000000003,28.35
8,6,560,285,1,start,19.05,19.200000000000003,28.35
8,382,561,285,1,end,19.05,19.200000000000003,28.5
8,386,561,240,2,start,19.05,19.200000000000003,28.5
8,2261,566,240,2,end,19.35,19.500000000000004,28.5
8,2266,566,110,6,start,19.35,19.500000000000004,28.5
8,5641,575,110,6,end,19.35,19.500000000000004,29.4
8,5647,575,92,8,start,19.35,19.500000000000004,29.4
8,10147,587,92,8,end,19.35,19.500000000000004,30.0
8,10153,587,81,5,start,19.35,19.500000000000004,30.0
8,13904,597,81,5,end,20.1,20.250000000000004,30.0
8,13910,597,199,8,start,20.1,20.250000000000004,30.0
8,18411,609,199,8,end,21.3,20.250000000000004,30.0
8,18418,609,105,8,start,21.3,20.250000000000004,30.0
8,22918,621,105,8,end,22.5,21.450000000000003,30.0
9,19,640,269,3,start,22.5,21.450000000000003,30.0
9,1520,644,269,3,end,22.5,21.450000000000003,30.0
9,1525,644,88,5,start,22.5,21.450000000000003,30.0
9,4526,652,88,5,end,22.5,21.450000000000003,30.0
9,4531,652,7,6,start,22.5,21.450000000000003,30.0
9,7906,661,7,6,end,22.5,21.450000000000003,30.0
9,7912,661,60,10,start,22.5,21.450000000000003,30.0
9,13913,677,60,10,end,22.5,21.450000000000003,30.0
9,13919,677,225,8,start,22.5,21.450000000000003,30.0
9,18419,689,225,8,end,22.5,22.650000000000002,30.0
9,18424,689,250,9,start,22.5,22.650000000000002,30.0
9,23674,703,250,9,end,23.85,24.000000000000004,30.0
10,47,720,302,2,start,23.85,24.000000000000004,30.0
10,1172,723,302,2,end,23.85,24.000000000000004,30.0
10,1176,723,53,3,start,23.85,24.000000000000004,30.0
10,2676,727,53,3,end,23.85,24.000000000000004,30.0
10,2681,727,159,7,start,23.85,24.000000000000004,30.0
10,6806,738,159,7,end,23.85,24.000000000000004,30.0
10,6816,738,193,4,start,23.85,24.000000000000004,30.0
10,9066,744,193,4,end,23.85,24.600000000000005,30.0
10,9070,744,153,4,start,23.85,24.600000000000005,30.0
10,11320,750,153,4,end,24.450000000000003,24.600000000000005,30.0
10,11326,750,84,6,start,24.450000000000003,24.600000000000005,30.0
10,14701,759,84,6,end,25.35,24.600000000000005,30.0
10,14705,759,207,7,start,25.35,24.600000000000005,30.0
10,18831,770,207,7,end,25.35,25.650000000000006,30.0
10,18835,770,132,7,start,25.35,25.650000000000006,30.0
10,22961,781,132,7,end,26.400000000000002,26.700000000000006,30.0
11,50,800,147,8,start,26.400000000000002,26.700000000000006,30.0
11,4551,812,147,8,end,26.400000000000002,26.700000000000006,30.0
11,4569,812,219,1,start,26.400000000000002,26.700000000000006,30.0
11,4944,813,219,1,end,26.55,26.700000000000006,30.0
11,4951,813,352,1,start,26.55,26.700000000000006,30.0
11,5326,814,352,1,end,26.7,26.700000000000006,30.0
11,5332,814,126,2,start,26.7,26.700000000000006,30.0
11,6457,817,126,2,end,27.0,27.000000000000007,30.0
11,6463,817,210,3,start,27.0,27.000000000000007,30.0
11,7963,821,210,3,end,27.45,27.000000000000007,30.0
11,7967,821,12,5,start,27.45,27.000000000000007,30.0
11,10967,829,12,5,end,28.2,27.000000000000007,30.0
11,10974,829,349,6,start,28.2,27.000000000000007,30.0
11,14349,838,349,6,end,29.099999999999998,27.000000000000007,30.0
11,14354,838,212,10,start,29.099999999999998,27.000000000000007,30.0
11,20354,854,212,10,end,30.0,27.000000000000007,30.0
11,20361,854,288,10,start,30.0,27.000000000000007,30.0
11,26361,870,288,10,end,30.0,27.000000000000007,30.0
12,32,880,24,1,start,30.0,27.000000000000007,30.0
12,407,881,24,1,end,30.0,27.000000000000007,30.0
12,414,881,368,1,start,30.0,27.000000000000007,30.0
12,790,882,368,1,end,30.0,27.000000000000007,30.0
12,795,882,280,3,start,30.0,27.000000000000007,30.0
12,2295,886,280,3,end,30.0,27.000000000000007,30.0
12,2300,886,170,4,start,30.0,27.000000000000007,30.0
12,4550,892,170,4,end,30.0,27.000000000000007,30.0
12,4566,892,325,5,start,30.0,27.000000000000007,30.0
12,7566,900,325,5,end,30.0,27.000000000000007,30.0
12,7570,900,299,8,start,30.0,27.000000000000007,30.0
12,12071,912,299,8,end,30.0,27.000000000000007,30.0
12,12074,912,362,10,start,30.0,27.000000000000007,30.0
12,18075,928,362,10,end,30.0,27.000000000000007,30.0
12,18081,928,376,8,start,30.0,27.000000000000007,30.0
12,22581,940,376,8,end,30.0,28.200000000000006,30.0
