sep=,
sprint,systemTime,modelTime,task,storyPoints,picked/accepted/rejected,description
1,25,0,125,3,PICKED,picked for inspection
1,25,0,125,3,ACCEPTED,accepted for execution
1,9035,24,106,4,PICKED,picked for inspection
1,9035,24,106,4,ACCEPTED,accepted for execution
1,21038,56,357,5,PICKED,picked for inspection
1,21038,56,357,5,REJECTED,Tiffany cannot finish task within the remaining time
1,21038,56,112,6,PICKED,picked for inspection
1,21038,56,112,6,REJECTED,Tiffany cannot finish task within the remaining time
1,21038,56,44,10,PICKED,picked for inspection
1,21038,56,44,10,REJECTED,Tiffany cannot finish task within the remaining time
1,21038,56,357,5,PICKED,no other tasks could be accepted-trying to break this task
1,21038,56,357,3,ACCEPTED,broke task into smaller parts-accepted for execution
1,21038,56,357,3,ACCEPTED,accepted for execution
1,30046,80,112,5,PICKED,picked for inspection
1,30046,80,112,5,REJECTED,Tiffany cannot finish task within the remaining time
1,30046,80,44,10,PICKED,picked for inspection
1,30046,80,44,10,REJECTED,Tiffany cannot finish task within the remaining time
1,30046,80,112,5,PICKED,no other tasks could be accepted-trying to break this task
1,30046,80,112,5,REJECTED,could not break this task-Tiffany finished for this sprint
2,15,80,338,5,PICKED,picked for inspection
2,15,80,338,5,ACCEPTED,accepted for execution
2,15021,120,44,10,PICKED,picked for inspection
2,15021,120,44,10,REJECTED,Tiffany cannot finish task within the remaining time
2,15021,120,73,10,PICKED,picked for inspection
2,15021,120,73,10,REJECTED,Tiffany cannot finish task within the remaining time
2,15021,120,44,10,PICKED,no other tasks could be accepted-trying to break this task
2,15021,120,44,10,REJECTED,could not break this task-Tiffany finished for this sprint
3,23,160,226,4,PICKED,picked for inspection
3,23,160,226,4,ACCEPTED,accepted for execution
4,2,240,354,3,PICKED,picked for inspection
4,2,240,354,3,ACCEPTED,accepted for execution
5,2,320,3,7,PICKED,picked for inspection
5,2,320,3,7,ACCEPTED,accepted for execution
6,2,400,265,6,PICKED,picked for inspection
6,2,400,265,6,ACCEPTED,accepted for execution
7,2,480,180,2,PICKED,picked for inspection
7,2,480,180,2,ACCEPTED,accepted for execution
7,6006,496,308,10,PICKED,picked for inspection
