sep=,
TaskName,TaskID,Priority,StoryPoints,RequiredSkills
RandomTask_295,295,1,7,BackEnd
RandomTask_104,104,1,7,BackEnd FrontEnd
RandomTask_94,94,1,8,FrontEnd
RandomTask_141,141,1,8,Design
RandomTask_237,237,1,3,BackEnd
RandomTask_132,132,1,7,BackEnd FrontEnd
RandomTask_149,149,1,3,BackEnd Design
RandomTask_33,33,1,8,BackEnd
RandomTask_218,218,1,1,BackEnd FrontEnd
RandomTask_151,151,1,6,BackEnd FrontEnd
RandomTask_63,63,1,5,BackEnd FrontEnd
RandomTask_391,391,1,2,Design
RandomTask_51,51,1,6,FrontEnd
RandomTask_46,46,1,7,BackEnd
RandomTask_185,185,1,3,FrontEnd
RandomTask_327,327,1,1,BackEnd FrontEnd
RandomTask_230,230,1,9,BackEnd FrontEnd
RandomTask_209,209,1,9,BackEnd
RandomTask_163,163,1,7,BackEnd Design
RandomTask_57,57,1,4,BackEnd Design FrontEnd
RandomTask_339,339,1,6,Design FrontEnd
RandomTask_120,120,1,6,BackEnd Design FrontEnd
RandomTask_398,398,1,7,FrontEnd
RandomTask_28,28,1,6,BackEnd FrontEnd
RandomTask_193,193,1,4,Design FrontEnd
RandomTask_302,302,1,2,Design
RandomTask_77,77,1,7,FrontEnd
RandomTask_254,254,1,2,Design FrontEnd
RandomTask_79,79,1,2,Design FrontEnd
RandomTask_130,130,1,6,BackEnd FrontEnd
RandomTask_371,371,1,1,BackEnd Design
RandomTask_153,153,1,4,BackEnd Design
RandomTask_364,364,1,2,BackEnd FrontEnd
RandomTask_93,93,1,3,Design FrontEnd
RandomTask_4,4,1,3,BackEnd Design
RandomTask_297,297,1,8,Design FrontEnd
RandomTask_176,176,1,10,Design FrontEnd
RandomTask_372,372,1,10,Design FrontEnd
RandomTask_70,70,1,5,BackEnd FrontEnd
RandomTask_207,207,1,7,Design FrontEnd
RandomTask_173,173,1,3,Design
RandomTask_65,65,1,4,Design
RandomTask_160,160,1,9,Design
RandomTask_234,234,1,3,FrontEnd
RandomTask_159,159,1,7,Design
RandomTask_264,264,1,7,BackEnd FrontEnd
RandomTask_84,84,1,6,BackEnd Design
RandomTask_53,53,1,3,Design
RandomTask_111,111,1,4,FrontEnd
