sep=,
sprint,systemTime,modelTime,task,storyPoints,picked/accepted/rejected,description
1,0,0,106,4,PICKED,picked for inspection
1,0,0,106,4,ACCEPTED,accepted for execution
1,3755,10,168,6,PICKED,picked for inspection
1,3755,10,168,6,ACCEPTED,accepted for execution
2,1,80,96,7,PICKED,picked for inspection
2,1,80,96,7,ACCEPTED,accepted for execution
2,6761,98,194,5,PICKED,picked for inspection
2,6761,98,194,5,ACCEPTED,accepted for execution
2,11641,111,309,7,PICKED,picked for inspection
2,11641,111,309,7,ACCEPTED,accepted for execution
2,18396,129,123,10,PICKED,picked for inspection
2,18396,129,123,10,ACCEPTED,accepted for execution
3,13,160,121,9,PICKED,picked for inspection
3,13,160,121,9,ACCEPTED,accepted for execution
3,9025,184,26,9,PICKED,picked for inspection
3,9025,184,26,9,ACCEPTED,accepted for execution
3,18030,208,257,9,PICKED,picked for inspection
3,18030,208,257,9,ACCEPTED,accepted for execution
4,0,240,312,4,PICKED,picked for inspection
4,0,240,312,4,ACCEPTED,accepted for execution
4,3756,250,68,7,PICKED,picked for inspection
4,3756,250,68,7,ACCEPTED,accepted for execution
4,10510,268,215,10,PICKED,picked for inspection
4,10510,268,215,10,ACCEPTED,accepted for execution
5,10,320,9,6,PICKED,picked for inspection
5,10,320,9,6,ACCEPTED,accepted for execution
5,6021,336,144,10,PICKED,picked for inspection
5,6021,336,144,10,ACCEPTED,accepted for execution
5,15775,362,119,5,PICKED,picked for inspection
5,15775,362,119,5,ACCEPTED,accepted for execution
5,18782,370,129,3,PICKED,picked for inspection
5,18782,370,129,3,ACCEPTED,accepted for execution
6,42,400,320,6,PICKED,picked for inspection
6,42,400,320,6,ACCEPTED,accepted for execution
6,4927,413,45,9,PICKED,picked for inspection
6,4927,413,45,9,ACCEPTED,accepted for execution
6,11680,431,165,7,PICKED,picked for inspection
6,11680,431,165,7,ACCEPTED,accepted for execution
6,15809,442,341,10,PICKED,picked for inspection
6,15809,442,341,10,ACCEPTED,accepted for execution
7,31,480,137,4,PICKED,picked for inspection
7,31,480,137,4,ACCEPTED,accepted for execution
7,3041,488,305,1,PICKED,picked for inspection
7,3041,488,305,1,ACCEPTED,accepted for execution
7,3795,490,367,8,PICKED,picked for inspection
7,3795,490,367,8,ACCEPTED,accepted for execution
7,9800,506,261,6,PICKED,picked for inspection
7,9800,506,261,6,ACCEPTED,accepted for execution
7,13180,515,179,4,PICKED,picked for inspection
7,13180,515,179,4,ACCEPTED,accepted for execution
7,15443,521,274,4,PICKED,picked for inspection
7,15443,521,274,4,ACCEPTED,accepted for execution
8,43,560,167,4,PICKED,picked for inspection
8,43,560,167,4,ACCEPTED,accepted for execution
8,3053,568,298,2,PICKED,picked for inspection
8,3053,568,298,2,ACCEPTED,accepted for execution
8,4933,573,240,2,PICKED,picked for inspection
8,4933,573,240,2,ACCEPTED,accepted for execution
8,6438,577,233,8,PICKED,picked for inspection
8,6438,577,233,8,ACCEPTED,accepted for execution
8,12442,593,255,7,PICKED,picked for inspection
8,12442,593,255,7,ACCEPTED,accepted for execution
8,16575,604,21,5,PICKED,picked for inspection
8,16575,604,21,5,ACCEPTED,accepted for execution
8,19581,612,59,1,PICKED,picked for inspection
8,19581,612,59,1,ACCEPTED,accepted for execution
8,19962,613,117,1,PICKED,picked for inspection
8,19962,613,117,1,ACCEPTED,accepted for execution
8,20343,614,205,9,PICKED,picked for inspection
8,20343,614,205,9,ACCEPTED,accepted for execution
