sep=,
sprint,systemTime,modelTime,task,storyPoints,picked/accepted/rejected,description
1,1,0,204,1,PICKED,picked for inspection
1,1,0,204,1,ACCEPTED,accepted for execution
1,756,2,31,2,PICKED,picked for inspection
1,756,2,31,2,ACCEPTED,accepted for execution
1,3760,10,357,9,PICKED,picked for inspection
1,3760,10,357,9,ACCEPTED,accepted for execution
2,34,80,400,1,PICKED,picked for inspection
2,34,80,400,1,ACCEPTED,accepted for execution
2,1544,84,300,3,PICKED,picked for inspection
2,1544,84,300,3,ACCEPTED,accepted for execution
2,4547,92,155,6,PICKED,picked for inspection
2,4547,92,155,6,ACCEPTED,accepted for execution
2,10550,108,168,6,PICKED,picked for inspection
2,10550,108,168,6,ACCEPTED,accepted for execution
2,16552,124,73,10,PICKED,picked for inspection
2,16552,124,73,10,ACCEPTED,accepted for execution
3,27,160,283,2,PICKED,picked for inspection
3,27,160,283,2,ACCEPTED,accepted for execution
3,1910,165,386,5,PICKED,picked for inspection
3,1910,165,386,5,ACCEPTED,accepted for execution
3,6796,178,271,5,PICKED,picked for inspection
3,6796,178,271,5,ACCEPTED,accepted for execution
3,10548,188,374,7,PICKED,picked for inspection
3,10548,188,374,7,ACCEPTED,accepted for execution
4,16,240,228,2,PICKED,picked for inspection
4,16,240,228,2,ACCEPTED,accepted for execution
4,1526,244,36,3,PICKED,picked for inspection
4,1526,244,36,3,ACCEPTED,accepted for execution
4,4529,252,312,4,PICKED,picked for inspection
4,4529,252,312,4,ACCEPTED,accepted for execution
4,7533,260,296,9,PICKED,picked for inspection
4,7533,260,296,9,ACCEPTED,accepted for execution
4,12789,274,142,9,PICKED,picked for inspection
4,12789,274,142,9,ACCEPTED,accepted for execution
4,18044,288,251,8,PICKED,picked for inspection
4,18044,288,251,8,ACCEPTED,accepted for execution
5,11,320,208,2,PICKED,picked for inspection
5,11,320,208,2,ACCEPTED,accepted for execution
5,1147,323,191,8,PICKED,picked for inspection
5,1147,323,191,8,ACCEPTED,accepted for execution
5,5649,335,317,6,PICKED,picked for inspection
5,5649,335,317,6,ACCEPTED,accepted for execution
5,10152,347,9,6,PICKED,picked for inspection
5,10152,347,9,6,ACCEPTED,accepted for execution
5,14281,358,20,7,PICKED,picked for inspection
5,14281,358,20,7,ACCEPTED,accepted for execution
5,18786,370,284,10,PICKED,picked for inspection
5,18786,370,284,10,ACCEPTED,accepted for execution
6,35,400,179,4,PICKED,picked for inspection
6,35,400,179,4,ACCEPTED,accepted for execution
