sep=,
sprint,systemTime,modelTime,task,storyPoints,picked/accepted/rejected,description
1,13,0,44,10,PICKED,picked for inspection
1,13,0,44,10,ACCEPTED,accepted for execution
1,30016,80,155,4,PICKED,picked for inspection
1,30016,80,155,4,REJECTED,Tiffany cannot finish task within the remaining time
1,30016,80,315,3,PICKED,picked for inspection
1,30016,80,315,3,REJECTED,Tiffany cannot finish task within the remaining time
1,30016,80,357,9,PICKED,picked for inspection
1,30016,80,357,9,REJECTED,Tiffany cannot finish task within the remaining time
1,30016,80,155,4,PICKED,no other tasks could be accepted-trying to break this task
1,30016,80,155,4,REJECTED,could not break this task-Tiffany finished for this sprint
2,22,80,236,5,PICKED,picked for inspection
2,22,80,236,5,ACCEPTED,accepted for execution
2,15028,120,357,4,PICKED,picked for inspection
2,15028,120,357,4,ACCEPTED,accepted for execution
2,27032,152,357,9,PICKED,picked for inspection
2,27032,152,357,9,REJECTED,Tiffany cannot finish task within the remaining time
2,27032,152,357,9,PICKED,no other tasks could be accepted-trying to break this task
2,27032,152,357,9,REJECTED,could not break this task-Tiffany finished for this sprint
3,24,160,379,1,PICKED,picked for inspection
3,24,160,379,1,ACCEPTED,accepted for execution
3,3028,168,300,3,PICKED,picked for inspection
3,3028,168,300,3,ACCEPTED,accepted for execution
4,6,240,400,1,PICKED,picked for inspection
4,6,240,400,1,ACCEPTED,accepted for execution
4,3008,248,384,1,PICKED,picked for inspection
4,3008,248,384,1,ACCEPTED,accepted for execution
4,6012,256,311,5,PICKED,picked for inspection
4,6012,256,311,5,ACCEPTED,accepted for execution
5,20,320,194,5,PICKED,picked for inspection
5,20,320,194,5,ACCEPTED,accepted for execution
6,6,400,103,5,PICKED,picked for inspection
6,6,400,103,5,ACCEPTED,accepted for execution
7,11,480,309,7,PICKED,picked for inspection
7,11,480,309,7,ACCEPTED,accepted for execution
8,2,560,121,9,PICKED,picked for inspection
8,2,560,121,9,ACCEPTED,accepted for execution
9,24,640,49,9,PICKED,picked for inspection
9,24,640,49,9,ACCEPTED,accepted for execution
10,0,720,312,4,PICKED,picked for inspection
10,0,720,312,4,ACCEPTED,accepted for execution
10,4883,733,215,10,PICKED,picked for inspection
10,4883,733,215,10,ACCEPTED,accepted for execution
10,14637,759,158,10,PICKED,picked for inspection
10,14637,759,158,10,ACCEPTED,accepted for execution
11,0,800,251,8,PICKED,picked for inspection
11,0,800,251,8,ACCEPTED,accepted for execution
11,10125,827,294,10,PICKED,picked for inspection
11,10125,827,294,10,ACCEPTED,accepted for execution
12,0,880,20,7,PICKED,picked for inspection
12,0,880,20,7,ACCEPTED,accepted for execution
12,6752,898,262,7,PICKED,picked for inspection
12,6752,898,262,7,ACCEPTED,accepted for execution
12,13503,916,370,6,PICKED,picked for inspection
12,13503,916,370,6,ACCEPTED,accepted for execution
12,19503,932,129,3,PICKED,picked for inspection
12,19503,932,129,3,ACCEPTED,accepted for execution
13,2,960,221,7,PICKED,picked for inspection
13,2,960,221,7,ACCEPTED,accepted for execution
13,6753,978,61,9,PICKED,picked for inspection
13,6753,978,61,9,ACCEPTED,accepted for execution
13,15754,1002,373,5,PICKED,picked for inspection
13,15754,1002,373,5,ACCEPTED,accepted for execution
13,20630,1015,47,10,PICKED,picked for inspection
13,20630,1015,47,10,REJECTED,Tiffany cannot finish task within the remaining time
13,20630,1015,47,10,PICKED,no other tasks could be accepted-trying to break this task
13,20630,1015,47,10,REJECTED,could not break this task-Tiffany finished for this sprint
14,1,1040,323,4,PICKED,picked for inspection
14,1,1040,323,4,ACCEPTED,accepted for execution
14,3754,1050,214,6,PICKED,picked for inspection
14,3754,1050,214,6,ACCEPTED,accepted for execution
14,9754,1066,365,3,PICKED,picked for inspection
14,9754,1066,365,3,ACCEPTED,accepted for execution
14,12755,1074,47,6,PICKED,picked for inspection
14,12755,1074,47,6,ACCEPTED,accepted for execution
14,18755,1090,245,6,PICKED,picked for inspection
