sep=,
TaskName,TaskID,Priority,StoryPoints,RequiredSkills
RandomTask_297,297,1,8,Design FrontEnd
RandomTask_176,176,1,10,Design FrontEnd
RandomTask_372,372,1,10,Design FrontEnd
RandomTask_70,70,1,5,BackEnd FrontEnd
RandomTask_207,207,1,7,Design FrontEnd
RandomTask_173,173,1,3,Design
RandomTask_65,65,1,4,Design
RandomTask_160,160,1,9,Design
RandomTask_234,234,1,3,FrontEnd
RandomTask_159,159,1,7,Design
RandomTask_264,264,1,7,BackEnd FrontEnd
RandomTask_84,84,1,6,BackEnd Design
RandomTask_53,53,1,3,Design
RandomTask_111,111,1,4,FrontEnd
RandomTask_116,116,1,10,FrontEnd
RandomTask_388,388,1,1,BackEnd
RandomTask_382,382,1,7,BackEnd
RandomTask_322,322,1,1,BackEnd FrontEnd
RandomTask_279,279,1,8,FrontEnd
RandomTask_212,212,1,10,BackEnd
RandomTask_350,350,1,2,Design FrontEnd
RandomTask_304,304,1,8,FrontEnd
RandomTask_361,361,1,10,BackEnd Design FrontEnd
RandomTask_360,360,1,3,BackEnd FrontEnd
RandomTask_10,10,1,8,Design
RandomTask_332,332,1,5,BackEnd
RandomTask_272,272,1,9,Design FrontEnd
RandomTask_210,210,1,3,BackEnd Design
RandomTask_380,380,1,9,BackEnd FrontEnd
RandomTask_41,41,1,6,FrontEnd
RandomTask_80,80,1,10,BackEnd FrontEnd
RandomTask_243,243,1,3,FrontEnd
RandomTask_126,126,1,2,BackEnd Design FrontEnd
RandomTask_164,164,1,3,BackEnd
RandomTask_324,324,1,1,BackEnd
RandomTask_12,12,1,5,BackEnd Design
RandomTask_348,348,1,6,FrontEnd
RandomTask_85,85,1,2,BackEnd
RandomTask_190,190,1,5,BackEnd
