sep=,
sprint,systemTime,modelTime,taskID,storyPoints,start/end,BackEnd Exp,FrontEnd Exp,Design Exp
1,34,0,125,3,start,0.1,0.1,0.1
1,9035,24,125,3,end,0.5499999999999999,0.1,0.1
1,9038,24,106,4,start,0.5499999999999999,0.1,0.1
1,21038,56,106,4,end,1.15,0.7,0.7
1,21044,56,357,3,start,1.15,0.7,0.7
1,30044,80,357,3,end,1.15,0.7,1.15
2,21,80,338,5,start,1.15,0.7,1.15
2,15021,120,338,5,end,1.15,1.45,1.15
3,27,160,226,4,start,1.15,1.45,1.15
3,12027,192,226,4,end,1.75,2.05,1.75
4,4,240,354,3,start,1.75,2.05,1.75
4,9005,264,354,3,end,1.75,2.5,2.2
5,5,320,3,7,start,1.75,2.5,2.2
5,21006,376,3,7,end,1.75,2.5,3.25
6,4,400,265,6,start,1.75,2.5,3.25
6,18004,448,265,6,end,1.75,3.4,3.25
7,6,480,180,2,start,1.75,3.4,3.25
7,6006,496,180,2,end,2.05,3.4,3.25
8,2,560,386,5,start,2.05,3.4,3.25
8,15003,600,386,5,end,2.8,3.4,3.25
9,7,640,256,10,start,2.8,3.4,3.25
9,30007,720,256,10,end,4.3,3.4,4.75
10,1,720,124,7,start,4.3,3.4,4.75
10,21001,776,124,7,end,5.35,3.4,4.75
11,14,800,68,7,start,5.35,3.4,4.75
11,10515,828,68,7,end,6.3999999999999995,3.4,5.8
12,8,880,331,2,start,6.3999999999999995,3.4,5.8
12,3008,888,331,2,end,6.699999999999999,3.6999999999999997,5.8
12,3011,888,158,10,start,6.699999999999999,3.6999999999999997,5.8
12,12762,914,158,10,end,6.699999999999999,3.6999999999999997,7.3
13,19,960,129,3,start,6.699999999999999,3.6999999999999997,7.3
13,3019,968,129,3,end,6.699999999999999,3.6999999999999997,7.75
13,3022,968,217,4,start,6.699999999999999,3.6999999999999997,7.75
13,6773,978,217,4,end,7.299999999999999,3.6999999999999997,8.35
13,6785,978,296,9,start,7.299999999999999,3.6999999999999997,8.35
13,15785,1002,296,9,end,8.649999999999999,3.6999999999999997,8.35
13,15788,1002,294,10,start,8.649999999999999,3.6999999999999997,8.35
13,25539,1028,294,10,end,10.149999999999999,3.6999999999999997,9.85
14,22,1040,208,2,start,10.149999999999999,3.6999999999999997,9.85
14,1897,1045,208,2,end,10.149999999999999,3.6999999999999997,10.15
14,1901,1045,370,6,start,10.149999999999999,3.6999999999999997,10.15
14,7902,1061,370,6,end,11.049999999999999,3.6999999999999997,11.05
14,7907,1061,341,10,start,11.049999999999999,3.6999999999999997,11.05
14,17657,1087,341,10,end,11.049999999999999,3.6999999999999997,12.55
14,17660,1087,108,9,start,11.049999999999999,3.6999999999999997,12.55
14,28910,1117,108,9,end,12.399999999999999,5.05,13.9
15,20,1120,97,3,start,12.399999999999999,5.05,13.9
15,3020,1128,97,3,end,12.399999999999999,5.05,14.35
15,3023,1128,373,5,start,12.399999999999999,5.05,14.35
15,7898,1141,373,5,end,12.399999999999999,5.05,15.1
15,7904,1141,143,8,start,12.399999999999999,5.05,15.1
15,15780,1162,143,8,end,12.399999999999999,5.05,16.3
15,15783,1162,320,6,start,12.399999999999999,5.05,16.3
15,21783,1178,320,6,end,13.299999999999999,5.949999999999999,17.2
16,23,1200,114,2,start,13.299999999999999,5.949999999999999,17.2
16,1898,1205,114,2,end,13.299999999999999,6.249999999999999,17.5
