sep=,
sprint,systemTime,modelTime,taskID,storyPoints,start/end,BackEnd Exp,FrontEnd Exp,Design Exp
1,14,0,125,3,start,21.0,21.0,21.0
1,1514,4,125,3,end,21.45,21.0,21.0
1,1516,4,106,4,start,21.45,21.0,21.0
1,3766,10,106,4,end,22.05,21.6,21.6
1,3771,10,112,6,start,22.05,21.6,21.6
1,7146,19,112,6,end,22.95,22.5,22.5
2,8,80,384,1,start,22.95,22.5,22.5
2,383,81,384,1,end,23.099999999999998,22.5,22.5
2,386,81,52,1,start,23.099999999999998,22.5,22.5
2,761,82,52,1,end,23.249999999999996,22.65,22.65
2,763,82,43,4,start,23.249999999999996,22.65,22.65
2,3014,88,43,4,end,23.849999999999998,22.65,22.65
2,3016,88,386,5,start,23.849999999999998,22.65,22.65
2,6017,96,386,5,end,24.599999999999998,22.65,22.65
2,6022,96,309,7,start,24.599999999999998,22.65,22.65
2,10147,107,309,7,end,24.599999999999998,22.65,23.7
2,10153,107,96,7,start,24.599999999999998,22.65,23.7
2,14278,118,96,7,end,25.65,23.7,24.75
2,14283,118,330,10,start,25.65,23.7,24.75
2,20284,134,330,10,end,27.15,25.2,26.25
3,15,160,306,2,start,27.15,25.2,26.25
3,1140,163,306,2,end,27.45,25.2,26.25
3,1142,163,99,4,start,27.45,25.2,26.25
3,3392,169,99,4,end,27.45,25.8,26.25
3,3395,169,312,4,start,27.45,25.8,26.25
3,5645,175,312,4,end,28.05,26.400000000000002,26.85
3,5651,175,74,7,start,28.05,26.400000000000002,26.85
3,9776,186,74,7,end,29.1,26.400000000000002,27.900000000000002
3,9778,186,66,10,start,29.1,26.400000000000002,27.900000000000002
3,15779,202,66,10,end,29.1,27.900000000000002,27.900000000000002
3,15797,202,49,9,start,29.1,27.900000000000002,27.900000000000002
3,21047,216,49,9,end,30.0,29.250000000000004,27.900000000000002
3,21059,216,290,9,start,30.0,29.250000000000004,27.900000000000002
3,26309,230,290,9,end,30.0,30.0,29.250000000000004
4,23,240,152,1,start,30.0,30.0,29.250000000000004
4,398,241,152,1,end,30.0,30.0,29.250000000000004
4,402,241,187,3,start,30.0,30.0,29.250000000000004
4,1902,245,187,3,end,30.0,30.0,29.250000000000004
4,1908,245,161,7,start,30.0,30.0,29.250000000000004
4,6034,256,161,7,end,30.0,30.0,29.250000000000004
4,6042,256,14,8,start,30.0,30.0,29.250000000000004
4,10542,268,14,8,end,30.0,30.0,29.250000000000004
4,10548,268,253,9,start,30.0,30.0,29.250000000000004
4,15798,282,253,9,end,30.0,30.0,29.250000000000004
