sep=,
TaskName,TaskID,Priority,StoryPoints,RequiredSkills
RandomTask_235,235,1,7,BackEnd
RandomTask_198,198,1,6,Design FrontEnd
RandomTask_92,92,1,8,Design
RandomTask_81,81,1,5,BackEnd Design FrontEnd
RandomTask_90,90,1,4,FrontEnd
RandomTask_298,298,1,2,BackEnd FrontEnd
RandomTask_231,231,1,7,BackEnd Design FrontEnd
RandomTask_247,247,1,7,BackEnd
RandomTask_353,353,1,3,BackEnd
RandomTask_222,222,1,10,BackEnd
RandomTask_110,110,1,6,Design
RandomTask_105,105,1,8,BackEnd Design FrontEnd
RandomTask_343,343,1,9,BackEnd FrontEnd
RandomTask_145,145,1,9,FrontEnd
RandomTask_59,59,1,1,FrontEnd
RandomTask_260,260,1,3,Design
RandomTask_140,140,1,10,BackEnd Design FrontEnd
RandomTask_117,117,1,1,FrontEnd
RandomTask_195,195,1,9,FrontEnd
RandomTask_240,240,1,2,BackEnd FrontEnd
RandomTask_233,233,1,8,BackEnd FrontEnd
RandomTask_355,355,1,5,Design
RandomTask_259,259,1,9,BackEnd Design
RandomTask_30,30,1,7,BackEnd FrontEnd
RandomTask_255,255,1,7,FrontEnd
RandomTask_21,21,1,5,FrontEnd
RandomTask_249,249,1,9,BackEnd
RandomTask_166,166,1,7,BackEnd FrontEnd
RandomTask_199,199,1,8,BackEnd Design
RandomTask_285,285,1,1,Design
RandomTask_167,167,1,4,Design FrontEnd
RandomTask_293,293,1,5,BackEnd FrontEnd
RandomTask_192,192,1,6,BackEnd Design
RandomTask_2,2,1,6,Design
RandomTask_178,178,1,3,BackEnd Design FrontEnd
RandomTask_223,223,1,9,BackEnd Design
RandomTask_205,205,1,9,BackEnd
RandomTask_340,340,1,10,Design
