sep=,
TaskName,TaskID,Priority,StoryPoints,RequiredSkills
RandomTask_140,140,1,3,BackEnd Design FrontEnd
RandomTask_2,2,1,6,Design
RandomTask_178,178,1,3,BackEnd Design FrontEnd
RandomTask_223,223,1,9,BackEnd Design
RandomTask_205,205,1,9,BackEnd
RandomTask_340,340,1,10,Design
RandomTask_216,216,1,6,BackEnd FrontEnd
RandomTask_351,351,1,2,Design
RandomTask_7,7,1,6,Design
RandomTask_375,375,1,9,BackEnd FrontEnd
RandomTask_383,383,1,6,Design
RandomTask_88,88,1,5,Design
RandomTask_169,169,1,5,Design FrontEnd
RandomTask_246,246,1,5,BackEnd
RandomTask_8,8,1,2,Design FrontEnd
RandomTask_225,225,1,8,Design FrontEnd
RandomTask_42,42,1,5,BackEnd
RandomTask_29,29,1,5,FrontEnd
RandomTask_40,40,1,6,BackEnd Design FrontEnd
RandomTask_241,241,1,4,BackEnd Design
RandomTask_1,1,1,8,BackEnd Design
RandomTask_60,60,1,10,Design
RandomTask_363,363,1,4,BackEnd Design FrontEnd
RandomTask_269,269,1,3,Design
RandomTask_197,197,1,2,BackEnd Design
RandomTask_326,326,1,2,FrontEnd
RandomTask_378,378,1,8,BackEnd Design
RandomTask_381,381,1,3,Design
RandomTask_333,333,1,6,FrontEnd
RandomTask_19,19,1,2,FrontEnd
RandomTask_177,177,1,5,BackEnd FrontEnd
RandomTask_250,250,1,9,BackEnd Design FrontEnd
RandomTask_62,62,1,10,Design
RandomTask_239,239,1,10,Design
RandomTask_16,16,1,9,BackEnd FrontEnd
RandomTask_136,136,1,3,FrontEnd
RandomTask_229,229,1,10,BackEnd
RandomTask_313,313,1,5,BackEnd Design FrontEnd
RandomTask_395,395,1,3,Design
RandomTask_270,270,1,8,BackEnd Design
RandomTask_295,295,1,7,BackEnd
