sep=,
sprint,systemTime,modelTime,task,storyPoints,picked/accepted/rejected,description
1,1,0,204,1,PICKED,picked for inspection
1,1,0,204,1,ACCEPTED,accepted for execution
1,379,1,300,3,PICKED,picked for inspection
1,379,1,300,3,ACCEPTED,accepted for execution
1,1882,5,106,4,PICKED,picked for inspection
1,1882,5,106,4,ACCEPTED,accepted for execution
1,4886,13,168,6,PICKED,picked for inspection
1,4886,13,168,6,ACCEPTED,accepted for execution
2,33,80,379,1,PICKED,picked for inspection
2,33,80,379,1,ACCEPTED,accepted for execution
2,420,81,211,2,PICKED,picked for inspection
2,420,81,211,2,ACCEPTED,accepted for execution
2,2298,86,277,4,PICKED,picked for inspection
2,2298,86,277,4,ACCEPTED,accepted for execution
2,4554,92,309,7,PICKED,picked for inspection
2,4554,92,309,7,ACCEPTED,accepted for execution
2,8685,103,135,10,PICKED,picked for inspection
2,8685,103,135,10,ACCEPTED,accepted for execution
3,23,160,182,3,PICKED,picked for inspection
3,23,160,182,3,ACCEPTED,accepted for execution
3,1535,164,386,5,PICKED,picked for inspection
3,1535,164,386,5,ACCEPTED,accepted for execution
3,4539,172,271,5,PICKED,picked for inspection
3,4539,172,271,5,ACCEPTED,accepted for execution
3,7543,180,74,7,PICKED,picked for inspection
3,7543,180,74,7,ACCEPTED,accepted for execution
3,11673,191,82,10,PICKED,picked for inspection
3,11673,191,82,10,ACCEPTED,accepted for execution
3,17681,207,121,9,PICKED,picked for inspection
3,17681,207,121,9,ACCEPTED,accepted for execution
4,12,240,129,3,PICKED,picked for inspection
4,12,240,129,3,ACCEPTED,accepted for execution
4,1514,244,286,5,PICKED,picked for inspection
4,1514,244,286,5,ACCEPTED,accepted for execution
4,4518,252,158,10,PICKED,picked for inspection
4,4518,252,158,10,ACCEPTED,accepted for execution
4,10524,268,377,5,PICKED,picked for inspection
4,10524,268,377,5,ACCEPTED,accepted for execution
4,14277,278,396,8,PICKED,picked for inspection
4,14277,278,396,8,ACCEPTED,accepted for execution
5,46,320,32,4,PICKED,picked for inspection
5,46,320,32,4,ACCEPTED,accepted for execution
5,2308,326,373,5,PICKED,picked for inspection
5,2308,326,373,5,ACCEPTED,accepted for execution
5,5313,334,143,8,PICKED,picked for inspection
5,5313,334,143,8,ACCEPTED,accepted for execution
5,9816,346,341,10,PICKED,picked for inspection
5,9816,346,341,10,ACCEPTED,accepted for execution
5,15824,362,320,6,PICKED,picked for inspection
5,15824,362,320,6,ACCEPTED,accepted for execution
