sep=,
sprint,systemTime,modelTime,task,storyPoints,picked/accepted/rejected,description
1,17,0,393,10,PICKED,picked for inspection
1,17,0,393,10,ACCEPTED,accepted for execution
1,6026,16,196,1,PICKED,picked for inspection
1,6026,16,196,1,ACCEPTED,accepted for execution
2,34,80,58,1,PICKED,picked for inspection
2,34,80,58,1,ACCEPTED,accepted for execution
2,418,81,30,7,PICKED,picked for inspection
2,418,81,30,7,ACCEPTED,accepted for execution
2,4547,92,334,10,PICKED,picked for inspection
2,4547,92,334,10,ACCEPTED,accepted for execution
2,10551,108,305,1,PICKED,picked for inspection
2,10551,108,305,1,ACCEPTED,accepted for execution
2,10933,109,193,4,PICKED,picked for inspection
2,10933,109,193,4,ACCEPTED,accepted for execution
2,13192,115,174,7,PICKED,picked for inspection
2,13192,115,174,7,ACCEPTED,accepted for execution
2,17323,126,154,3,PICKED,picked for inspection
2,17323,126,154,3,ACCEPTED,accepted for execution
2,18830,130,171,6,PICKED,picked for inspection
2,18830,130,171,6,ACCEPTED,accepted for execution
2,22214,139,267,1,PICKED,picked for inspection
2,22214,139,267,1,ACCEPTED,accepted for execution
2,22596,140,14,8,PICKED,picked for inspection
2,22596,140,14,8,ACCEPTED,accepted for execution
3,20,160,287,1,PICKED,picked for inspection
3,20,160,287,1,ACCEPTED,accepted for execution
3,401,161,242,7,PICKED,picked for inspection
3,401,161,242,7,ACCEPTED,accepted for execution
3,4535,172,169,5,PICKED,picked for inspection
3,4535,172,169,5,ACCEPTED,accepted for execution
3,7544,180,26,9,PICKED,picked for inspection
3,7544,180,26,9,ACCEPTED,accepted for execution
3,12800,194,88,5,PICKED,picked for inspection
3,12800,194,88,5,ACCEPTED,accepted for execution
3,15813,202,42,5,PICKED,picked for inspection
3,15813,202,42,5,ACCEPTED,accepted for execution
3,18820,210,82,10,PICKED,picked for inspection
3,18820,210,82,10,ACCEPTED,accepted for execution
3,24827,226,141,8,PICKED,picked for inspection
3,24827,226,141,8,ACCEPTED,accepted for execution
4,30,240,126,2,PICKED,picked for inspection
4,30,240,126,2,ACCEPTED,accepted for execution
4,1165,243,350,2,PICKED,picked for inspection
4,1165,243,350,2,ACCEPTED,accepted for execution
4,2299,246,391,2,PICKED,picked for inspection
4,2299,246,391,2,ACCEPTED,accepted for execution
4,3431,249,24,1,PICKED,picked for inspection
4,3431,249,24,1,ACCEPTED,accepted for execution
4,3815,250,326,2,PICKED,picked for inspection
4,3815,250,326,2,ACCEPTED,accepted for execution
4,4945,253,302,2,PICKED,picked for inspection
4,4945,253,302,2,ACCEPTED,accepted for execution
4,6076,256,369,6,PICKED,picked for inspection
4,6076,256,369,6,ACCEPTED,accepted for execution
4,9460,265,235,7,PICKED,picked for inspection
4,9460,265,235,7,ACCEPTED,accepted for execution
4,13590,276,323,4,PICKED,picked for inspection
4,13590,276,323,4,ACCEPTED,accepted for execution
4,15847,282,221,7,PICKED,picked for inspection
4,15847,282,221,7,ACCEPTED,accepted for execution
4,19979,293,40,6,PICKED,picked for inspection
4,19979,293,40,6,ACCEPTED,accepted for execution
4,23362,302,158,10,PICKED,picked for inspection
4,23362,302,158,10,ACCEPTED,accepted for execution
5,1,320,170,4,PICKED,picked for inspection
5,1,320,170,4,ACCEPTED,accepted for execution
5,2260,326,111,4,PICKED,picked for inspection
5,2260,326,111,4,ACCEPTED,accepted for execution
5,4514,332,375,9,PICKED,picked for inspection
5,4514,332,375,9,ACCEPTED,accepted for execution
5,9769,346,243,3,PICKED,picked for inspection
5,9769,346,243,3,ACCEPTED,accepted for execution
5,11276,350,18,1,PICKED,picked for inspection
5,11276,350,18,1,ACCEPTED,accepted for execution
5,11657,351,93,3,PICKED,picked for inspection
5,11657,351,93,3,ACCEPTED,accepted for execution
5,13164,355,270,8,PICKED,picked for inspection
5,13164,355,270,8,ACCEPTED,accepted for execution
5,17671,367,213,4,PICKED,picked for inspection
5,17671,367,213,4,ACCEPTED,accepted for execution
5,19928,373,48,1,PICKED,picked for inspection
5,19928,373,48,1,ACCEPTED,accepted for execution
5,20310,374,74,7,PICKED,picked for inspection
5,20310,374,74,7,ACCEPTED,accepted for execution
5,24445,385,311,5,PICKED,picked for inspection
5,24445,385,311,5,ACCEPTED,accepted for execution
5,27451,393,224,5,PICKED,picked for inspection
5,27451,393,224,5,REJECTED,Weiwei cannot finish task within the remaining time
5,27451,393,224,5,PICKED,no other tasks could be accepted-trying to break this task
5,27451,393,224,5,REJECTED,could not break this task-Weiwei finished for this sprint
6,32,400,35,2,PICKED,picked for inspection
6,32,400,35,2,ACCEPTED,accepted for execution
6,1167,403,357,9,PICKED,picked for inspection
6,1167,403,357,9,ACCEPTED,accepted for execution
6,6420,417,293,5,PICKED,picked for inspection
6,6420,417,293,5,ACCEPTED,accepted for execution
6,9427,425,75,5,PICKED,picked for inspection
6,9427,425,75,5,ACCEPTED,accepted for execution
6,12433,433,64,5,PICKED,picked for inspection
6,12433,433,64,5,ACCEPTED,accepted for execution
6,15440,441,100,6,PICKED,picked for inspection
6,15440,441,100,6,ACCEPTED,accepted for execution
6,18822,450,276,10,PICKED,picked for inspection
6,18822,450,276,10,ACCEPTED,accepted for execution
6,24826,466,142,9,PICKED,picked for inspection
6,24826,466,142,9,REJECTED,Weiwei cannot finish task within the remaining time
6,24826,466,160,9,PICKED,picked for inspection
6,24826,466,160,9,REJECTED,Weiwei cannot finish task within the remaining time
6,24826,466,390,4,PICKED,picked for inspection
6,24826,466,390,4,ACCEPTED,accepted for execution
6,24826,466,390,4,ACCEPTED,accepted for execution
6,27080,472,160,3,PICKED,picked for inspection
6,27080,472,160,3,ACCEPTED,accepted for execution
7,8,480,69,5,PICKED,picked for inspection
7,8,480,69,5,ACCEPTED,accepted for execution
7,3013,488,157,8,PICKED,picked for inspection
7,3013,488,157,8,ACCEPTED,accepted for execution
7,7520,500,50,9,PICKED,picked for inspection
7,7520,500,50,9,ACCEPTED,accepted for execution
7,12774,514,149,3,PICKED,picked for inspection
7,12774,514,149,3,ACCEPTED,accepted for execution
7,14287,518,319,5,PICKED,picked for inspection
7,14287,518,319,5,ACCEPTED,accepted for execution
7,17296,526,127,2,PICKED,picked for inspection
7,17296,526,127,2,ACCEPTED,accepted for execution
7,18428,529,91,1,PICKED,picked for inspection
7,18428,529,91,1,ACCEPTED,accepted for execution
7,18810,530,144,10,PICKED,picked for inspection
7,18810,530,144,10,ACCEPTED,accepted for execution
7,24817,546,376,8,PICKED,picked for inspection
7,24817,546,376,8,ACCEPTED,accepted for execution
8,9,560,261,6,PICKED,picked for inspection
8,9,560,261,6,ACCEPTED,accepted for execution
8,3387,569,307,3,PICKED,picked for inspection
8,3387,569,307,3,ACCEPTED,accepted for execution
8,4893,573,215,10,PICKED,picked for inspection
8,4893,573,215,10,ACCEPTED,accepted for execution
8,10898,589,31,2,PICKED,picked for inspection
8,10898,589,31,2,ACCEPTED,accepted for execution
8,12030,592,110,6,PICKED,picked for inspection
8,12030,592,110,6,ACCEPTED,accepted for execution
8,15415,601,289,2,PICKED,picked for inspection
8,15415,601,289,2,ACCEPTED,accepted for execution
8,16548,604,280,3,PICKED,picked for inspection
8,16548,604,280,3,ACCEPTED,accepted for execution
8,18054,608,255,7,PICKED,picked for inspection
8,18054,608,255,7,ACCEPTED,accepted for execution
8,22190,619,34,8,PICKED,picked for inspection
8,22190,619,34,8,ACCEPTED,accepted for execution
8,26694,631,118,9,PICKED,picked for inspection
8,26694,631,118,9,REJECTED,Weiwei cannot finish task within the remaining time
8,26694,631,118,9,PICKED,no other tasks could be accepted-trying to break this task
8,26694,631,118,9,REJECTED,could not break this task-Weiwei finished for this sprint
9,29,640,15,8,PICKED,picked for inspection
9,29,640,15,8,ACCEPTED,accepted for execution
9,4539,652,278,9,PICKED,picked for inspection
9,4539,652,278,9,ACCEPTED,accepted for execution
