sep=,
TaskName,TaskID,Priority,StoryPoints,RequiredSkills
RandomTask_336,336,1,3,BackEnd FrontEnd
RandomTask_261,261,1,6,Design
RandomTask_92,92,1,8,Design
RandomTask_36,36,1,3,BackEnd
RandomTask_152,152,1,1,FrontEnd
RandomTask_384,384,1,1,BackEnd
RandomTask_253,253,1,9,FrontEnd
RandomTask_38,38,1,6,Design FrontEnd
RandomTask_143,143,1,8,Design
RandomTask_8,8,1,2,Design FrontEnd
RandomTask_394,394,1,3,FrontEnd
RandomTask_307,307,1,3,BackEnd Design
RandomTask_140,140,1,10,BackEnd Design FrontEnd
RandomTask_66,66,1,10,FrontEnd
RandomTask_10,10,1,8,Design
RandomTask_215,215,1,10,Design FrontEnd
RandomTask_216,216,1,6,BackEnd FrontEnd
RandomTask_85,85,1,2,BackEnd
RandomTask_12,12,1,5,BackEnd Design
RandomTask_135,135,1,10,BackEnd Design
RandomTask_363,363,1,4,BackEnd Design FrontEnd
RandomTask_195,195,1,9,FrontEnd
RandomTask_230,230,1,9,BackEnd FrontEnd
RandomTask_164,164,1,3,BackEnd
RandomTask_31,31,1,2,BackEnd FrontEnd
RandomTask_130,130,1,6,BackEnd FrontEnd
RandomTask_299,299,1,8,Design
RandomTask_110,110,1,6,Design
RandomTask_202,202,1,2,BackEnd
RandomTask_113,113,1,2,BackEnd Design
RandomTask_28,28,1,6,BackEnd FrontEnd
RandomTask_217,217,1,4,BackEnd Design
RandomTask_289,289,1,2,BackEnd
RandomTask_379,379,1,1,BackEnd Design
RandomTask_295,295,1,7,BackEnd
RandomTask_212,212,1,10,BackEnd
RandomTask_322,322,1,1,BackEnd FrontEnd
RandomTask_280,280,1,3,Design
RandomTask_80,80,1,10,BackEnd FrontEnd
RandomTask_97,97,1,3,Design
RandomTask_255,255,1,7,FrontEnd
RandomTask_218,218,1,1,BackEnd FrontEnd
RandomTask_4,4,1,3,BackEnd Design
RandomTask_380,380,1,9,BackEnd FrontEnd
RandomTask_388,388,1,1,BackEnd
RandomTask_114,114,1,2,Design FrontEnd
RandomTask_55,55,1,7,BackEnd
RandomTask_268,268,1,7,BackEnd Design FrontEnd
RandomTask_81,81,1,5,BackEnd Design FrontEnd
RandomTask_34,34,1,8,BackEnd Design FrontEnd
RandomTask_347,347,1,5,FrontEnd
RandomTask_274,274,1,4,BackEnd
RandomTask_41,41,1,6,FrontEnd
RandomTask_118,118,1,9,BackEnd FrontEnd
RandomTask_59,59,1,1,FrontEnd
RandomTask_98,98,1,6,BackEnd FrontEnd
RandomTask_346,346,1,8,FrontEnd
