sep=,
sprint,systemTime,modelTime,task,storyPoints,picked/accepted/rejected,description
1,15,0,25,4,PICKED,picked for inspection
1,15,0,25,4,ACCEPTED,accepted for execution
1,3769,10,349,6,PICKED,picked for inspection
1,3769,10,349,6,ACCEPTED,accepted for execution
2,22,80,234,3,PICKED,picked for inspection
2,22,80,234,3,ACCEPTED,accepted for execution
2,3030,88,333,6,PICKED,picked for inspection
2,3030,88,333,6,ACCEPTED,accepted for execution
2,9032,104,301,6,PICKED,picked for inspection
2,9032,104,301,6,ACCEPTED,accepted for execution
2,15035,120,45,9,PICKED,picked for inspection
2,15035,120,45,9,ACCEPTED,accepted for execution
3,17,160,125,3,PICKED,picked for inspection
3,17,160,125,3,ACCEPTED,accepted for execution
3,3019,168,190,5,PICKED,picked for inspection
3,3019,168,190,5,ACCEPTED,accepted for execution
3,7898,181,14,8,PICKED,picked for inspection
3,7898,181,14,8,ACCEPTED,accepted for execution
3,15776,202,9,6,PICKED,picked for inspection
3,15776,202,9,6,ACCEPTED,accepted for execution
4,10,240,337,3,PICKED,picked for inspection
4,10,240,337,3,ACCEPTED,accepted for execution
4,3016,248,7,6,PICKED,picked for inspection
4,3016,248,7,6,ACCEPTED,accepted for execution
4,9019,264,60,10,PICKED,picked for inspection
4,9019,264,60,10,ACCEPTED,accepted for execution
4,18772,290,172,10,PICKED,picked for inspection
4,18772,290,172,10,ACCEPTED,accepted for execution
5,17,320,391,2,PICKED,picked for inspection
5,17,320,391,2,ACCEPTED,accepted for execution
5,1895,325,137,4,PICKED,picked for inspection
5,1895,325,137,4,ACCEPTED,accepted for execution
5,5654,335,194,5,PICKED,picked for inspection
5,5654,335,194,5,ACCEPTED,accepted for execution
5,10538,348,168,6,PICKED,picked for inspection
5,10538,348,168,6,ACCEPTED,accepted for execution
5,16541,364,249,9,PICKED,picked for inspection
5,16541,364,249,9,ACCEPTED,accepted for execution
5,25544,388,250,3,PICKED,picked for inspection
5,25544,388,250,3,ACCEPTED,accepted for execution
6,9,400,52,1,PICKED,picked for inspection
6,9,400,52,1,ACCEPTED,accepted for execution
6,765,402,43,4,PICKED,picked for inspection
6,765,402,43,4,ACCEPTED,accepted for execution
6,4519,412,318,6,PICKED,picked for inspection
6,4519,412,318,6,ACCEPTED,accepted for execution
6,10522,428,47,10,PICKED,picked for inspection
6,10522,428,47,10,ACCEPTED,accepted for execution
7,35,480,208,2,PICKED,picked for inspection
7,35,480,208,2,ACCEPTED,accepted for execution
7,1919,485,111,4,PICKED,picked for inspection
7,1919,485,111,4,ACCEPTED,accepted for execution
7,5673,495,170,4,PICKED,picked for inspection
7,5673,495,170,4,ACCEPTED,accepted for execution
7,9426,505,23,10,PICKED,picked for inspection
7,9426,505,23,10,ACCEPTED,accepted for execution
7,19179,531,115,10,PICKED,picked for inspection
7,19179,531,115,10,ACCEPTED,accepted for execution
8,10,560,182,3,PICKED,picked for inspection
8,10,560,182,3,ACCEPTED,accepted for execution
8,1512,564,93,3,PICKED,picked for inspection
8,1512,564,93,3,ACCEPTED,accepted for execution
8,3765,570,138,3,PICKED,picked for inspection
8,3765,570,138,3,ACCEPTED,accepted for execution
8,5650,575,124,7,PICKED,picked for inspection
8,5650,575,124,7,ACCEPTED,accepted for execution
8,9780,586,259,9,PICKED,picked for inspection
8,9780,586,259,9,ACCEPTED,accepted for execution
8,15032,600,109,9,PICKED,picked for inspection
8,15032,600,109,9,ACCEPTED,accepted for execution
9,14,640,219,1,PICKED,picked for inspection
