sep=,
TaskName,TaskID,Priority,StoryPoints,PerformerID,RequiredSkills
RandomTask_258,258,1,1,4,Design
RandomTask_335,335,1,1,2,Design FrontEnd
RandomTask_314,314,1,1,1,BackEnd Design FrontEnd
RandomTask_391,391,1,2,6,Design
RandomTask_283,283,1,2,3,Design FrontEnd
RandomTask_298,298,1,2,7,BackEnd FrontEnd
RandomTask_389,389,1,3,2,Design FrontEnd
RandomTask_43,43,1,4,4,BackEnd
RandomTask_29,29,1,5,3,FrontEnd
RandomTask_282,282,1,4,1,BackEnd FrontEnd
RandomTask_148,148,1,4,6,Design FrontEnd
RandomTask_137,137,1,4,7,Design FrontEnd
RandomTask_369,369,1,6,2,FrontEnd
RandomTask_348,348,1,6,4,FrontEnd
RandomTask_318,318,1,6,1,BackEnd FrontEnd
RandomTask_235,235,1,7,3,BackEnd
RandomTask_84,84,1,6,6,BackEnd Design
RandomTask_313,313,1,5,7,BackEnd Design FrontEnd
RandomTask_242,242,1,7,4,Design FrontEnd
RandomTask_249,249,1,9,2,BackEnd
RandomTask_20,20,1,7,3,BackEnd Design FrontEnd
RandomTask_61,61,1,9,6,BackEnd Design
RandomTask_294,294,1,10,7,BackEnd Design
RandomTask_385,385,1,7,1,Design FrontEnd
RandomTask_361,361,1,10,4,BackEnd Design FrontEnd
