sep=,
sprint,systemTime,modelTime,task,storyPoints,picked/accepted/rejected,description
1,18,0,236,5,PICKED,picked for inspection
1,18,0,236,5,ACCEPTED,accepted for execution
1,15032,40,396,8,PICKED,picked for inspection
1,15032,40,396,8,REJECTED,Lisa cannot finish task within the remaining time
1,15032,40,21,5,PICKED,picked for inspection
1,15032,40,21,5,ACCEPTED,accepted for execution
1,15032,40,21,5,ACCEPTED,accepted for execution
1,30038,80,396,8,PICKED,picked for inspection
1,30038,80,396,8,REJECTED,Lisa cannot finish task within the remaining time
1,30038,80,119,5,PICKED,picked for inspection
1,30038,80,119,5,REJECTED,Lisa cannot finish task within the remaining time
1,30038,80,203,6,PICKED,picked for inspection
1,30038,80,203,6,REJECTED,Lisa cannot finish task within the remaining time
1,30038,80,396,8,PICKED,no other tasks could be accepted-trying to break this task
1,30038,80,396,8,REJECTED,could not break this task-Lisa finished for this sprint
2,12,80,119,5,PICKED,picked for inspection
2,12,80,119,5,ACCEPTED,accepted for execution
2,15022,120,269,3,PICKED,picked for inspection
2,15022,120,269,3,ACCEPTED,accepted for execution
3,0,160,151,6,PICKED,picked for inspection
3,0,160,151,6,ACCEPTED,accepted for execution
4,10,240,206,4,PICKED,picked for inspection
4,10,240,206,4,ACCEPTED,accepted for execution
5,8,320,188,7,PICKED,picked for inspection
5,8,320,188,7,ACCEPTED,accepted for execution
6,0,400,387,2,PICKED,picked for inspection
6,0,400,387,2,ACCEPTED,accepted for execution
6,6002,416,131,3,PICKED,picked for inspection
6,6002,416,131,3,ACCEPTED,accepted for execution
7,12,480,317,6,PICKED,picked for inspection
7,12,480,317,6,ACCEPTED,accepted for execution
8,1,560,359,2,PICKED,picked for inspection
8,1,560,359,2,ACCEPTED,accepted for execution
8,3006,568,309,7,PICKED,picked for inspection
8,3006,568,309,7,ACCEPTED,accepted for execution
9,8,640,79,2,PICKED,picked for inspection
9,8,640,79,2,ACCEPTED,accepted for execution
9,1892,645,7,6,PICKED,picked for inspection
9,1892,645,7,6,ACCEPTED,accepted for execution
9,7897,661,60,10,PICKED,picked for inspection
9,7897,661,60,10,ACCEPTED,accepted for execution
10,19,720,148,4,PICKED,picked for inspection
10,19,720,148,4,ACCEPTED,accepted for execution
10,3777,730,169,5,PICKED,picked for inspection
10,3777,730,169,5,ACCEPTED,accepted for execution
10,8656,743,258,1,PICKED,picked for inspection
10,8656,743,258,1,ACCEPTED,accepted for execution
10,9411,745,145,9,PICKED,picked for inspection
10,9411,745,145,9,ACCEPTED,accepted for execution
11,40,800,385,7,PICKED,picked for inspection
11,40,800,385,7,ACCEPTED,accepted for execution
11,6799,818,84,6,PICKED,picked for inspection
11,6799,818,84,6,ACCEPTED,accepted for execution
11,15806,842,29,5,PICKED,picked for inspection
11,15806,842,29,5,ACCEPTED,accepted for execution
11,20687,855,47,10,PICKED,picked for inspection
11,20687,855,47,10,REJECTED,Lisa cannot finish task within the remaining time
11,20687,855,47,10,PICKED,no other tasks could be accepted-trying to break this task
11,20687,855,47,10,REJECTED,could not break this task-Lisa finished for this sprint
12,36,880,89,2,PICKED,picked for inspection
12,36,880,89,2,ACCEPTED,accepted for execution
12,2296,886,350,2,PICKED,picked for inspection
12,2296,886,350,2,ACCEPTED,accepted for execution
12,4174,891,211,2,PICKED,picked for inspection
12,4174,891,211,2,ACCEPTED,accepted for execution
12,6053,896,133,6,PICKED,picked for inspection
12,6053,896,133,6,ACCEPTED,accepted for execution
12,12058,912,326,2,PICKED,picked for inspection
12,12058,912,326,2,ACCEPTED,accepted for execution
12,13939,917,302,2,PICKED,picked for inspection
12,13939,917,302,2,ACCEPTED,accepted for execution
12,15820,922,102,9,PICKED,picked for inspection
12,15820,922,102,9,ACCEPTED,accepted for execution
13,9,960,57,4,PICKED,picked for inspection
13,9,960,57,4,ACCEPTED,accepted for execution
13,4894,973,339,6,PICKED,picked for inspection
13,4894,973,339,6,ACCEPTED,accepted for execution
13,10898,989,19,2,PICKED,picked for inspection
13,10898,989,19,2,ACCEPTED,accepted for execution
13,12778,994,158,10,PICKED,picked for inspection
13,12778,994,158,10,ACCEPTED,accepted for execution
14,0,1040,251,8,PICKED,picked for inspection
14,0,1040,251,8,ACCEPTED,accepted for execution
14,10133,1067,372,10,PICKED,picked for inspection
14,10133,1067,372,10,ACCEPTED,accepted for execution
14,19887,1093,355,5,PICKED,picked for inspection
14,19887,1093,355,5,ACCEPTED,accepted for execution
15,18,1120,291,4,PICKED,picked for inspection
15,18,1120,291,4,ACCEPTED,accepted for execution
15,3027,1128,219,1,PICKED,picked for inspection
15,3027,1128,219,1,ACCEPTED,accepted for execution
15,3781,1130,263,2,PICKED,picked for inspection
15,3781,1130,263,2,ACCEPTED,accepted for execution
15,5285,1134,228,2,PICKED,picked for inspection
15,5285,1134,228,2,ACCEPTED,accepted for execution
15,6788,1138,72,5,PICKED,picked for inspection
15,6788,1138,72,5,ACCEPTED,accepted for execution
15,10543,1148,159,7,PICKED,picked for inspection
15,10543,1148,159,7,ACCEPTED,accepted for execution
15,14672,1159,357,9,PICKED,picked for inspection
15,14672,1159,357,9,ACCEPTED,accepted for execution
16,2,1200,308,10,PICKED,picked for inspection
16,2,1200,308,10,ACCEPTED,accepted for execution
16,7881,1221,366,5,PICKED,picked for inspection
16,7881,1221,366,5,ACCEPTED,accepted for execution
16,10886,1229,69,5,PICKED,picked for inspection
16,10886,1229,69,5,ACCEPTED,accepted for execution
16,13892,1237,367,8,PICKED,picked for inspection
16,13892,1237,367,8,ACCEPTED,accepted for execution
16,18400,1249,107,6,PICKED,picked for inspection
16,18400,1249,107,6,ACCEPTED,accepted for execution
16,21782,1258,185,3,PICKED,picked for inspection
16,21782,1258,185,3,ACCEPTED,accepted for execution
16,23289,1262,265,6,PICKED,picked for inspection
16,23289,1262,265,6,ACCEPTED,accepted for execution
17,42,1280,400,1,PICKED,picked for inspection
17,42,1280,400,1,ACCEPTED,accepted for execution
17,801,1282,321,1,PICKED,picked for inspection
17,801,1282,321,1,ACCEPTED,accepted for execution
17,1555,1284,316,4,PICKED,picked for inspection
17,1555,1284,316,4,ACCEPTED,accepted for execution
17,4559,1292,331,2,PICKED,picked for inspection
17,4559,1292,331,2,ACCEPTED,accepted for execution
17,6063,1296,51,6,PICKED,picked for inspection
17,6063,1296,51,6,ACCEPTED,accepted for execution
17,9446,1305,358,3,PICKED,picked for inspection
17,9446,1305,358,3,ACCEPTED,accepted for execution
17,10954,1309,136,3,PICKED,picked for inspection
17,10954,1309,136,3,ACCEPTED,accepted for execution
17,12459,1313,394,3,PICKED,picked for inspection
17,12459,1313,394,3,ACCEPTED,accepted for execution
17,13965,1317,66,10,PICKED,picked for inspection
17,13965,1317,66,10,ACCEPTED,accepted for execution
17,19972,1333,99,4,PICKED,picked for inspection
17,19972,1333,99,4,ACCEPTED,accepted for execution
17,22226,1339,253,9,PICKED,picked for inspection
17,22226,1339,253,9,ACCEPTED,accepted for execution
18,12,1360,268,7,PICKED,picked for inspection
18,12,1360,268,7,ACCEPTED,accepted for execution
18,4530,1372,135,10,PICKED,picked for inspection
18,4530,1372,135,10,ACCEPTED,accepted for execution
18,12041,1392,31,2,PICKED,picked for inspection
18,12041,1392,31,2,ACCEPTED,accepted for execution
18,13546,1396,118,9,PICKED,picked for inspection
18,13546,1396,118,9,ACCEPTED,accepted for execution
18,20303,1414,202,2,PICKED,picked for inspection
18,20303,1414,202,2,ACCEPTED,accepted for execution
18,22186,1419,388,1,PICKED,picked for inspection
18,22186,1419,388,1,ACCEPTED,accepted for execution
18,22941,1421,55,7,PICKED,picked for inspection
18,22941,1421,55,7,ACCEPTED,accepted for execution
19,1,1440,278,9,PICKED,picked for inspection
19,1,1440,278,9,ACCEPTED,accepted for execution
