sep=,
sprint,velocity,storyPoints,duration,idlePeriod
1,0.7486026084642001,60,80,0
2,0.6491560970738041,52,80,0
3,0.7025103034844511,45,64,16
4,0.693622373483279,50,72,8
5,0.9450335219437972,53,56,24
6,1.5395284327323162,74,48,32
7,1.81349238333199,120,66,14
8,1.9828246362542392,145,73,7
9,2.0490385945497303,158,77,3
10,2.020322569645719,158,78,2
11,2.160138248847926,160,74,6
12,2.874729437229437,170,59,21
13,2.929287760949652,229,78,2
14,2.8783175274612813,225,78,2
15,2.9422801391826434,230,78,2
16,3.477822580645161,230,66,14
17,3.259519867549669,105,32,48
