sep=,
sprint,systemTime,modelTime,task,storyPoints,picked/accepted/rejected,description
1,21,0,21,5,PICKED,picked for inspection
1,21,0,21,5,ACCEPTED,accepted for execution
1,3027,8,236,5,PICKED,picked for inspection
1,3027,8,236,5,ACCEPTED,accepted for execution
1,6781,18,284,10,PICKED,picked for inspection
1,6781,18,284,10,ACCEPTED,accepted for execution
2,18,80,13,1,PICKED,picked for inspection
2,18,80,13,1,ACCEPTED,accepted for execution
2,776,82,21,5,PICKED,picked for inspection
2,776,82,21,5,ACCEPTED,accepted for execution
2,3777,90,70,5,PICKED,picked for inspection
2,3777,90,70,5,ACCEPTED,accepted for execution
2,8654,103,184,7,PICKED,picked for inspection
2,8654,103,184,7,ACCEPTED,accepted for execution
2,13907,117,284,10,PICKED,picked for inspection
2,13907,117,284,10,ACCEPTED,accepted for execution
3,1,160,267,1,PICKED,picked for inspection
3,1,160,267,1,ACCEPTED,accepted for execution
3,761,162,154,3,PICKED,picked for inspection
3,761,162,154,3,ACCEPTED,accepted for execution
3,2264,166,354,3,PICKED,picked for inspection
3,2264,166,354,3,ACCEPTED,accepted for execution
3,4518,172,171,6,PICKED,picked for inspection
3,4518,172,171,6,ACCEPTED,accepted for execution
3,7896,181,312,4,PICKED,picked for inspection
3,7896,181,312,4,ACCEPTED,accepted for execution
3,10902,189,30,7,PICKED,picked for inspection
3,10902,189,30,7,ACCEPTED,accepted for execution
3,16158,203,334,10,PICKED,picked for inspection
3,16158,203,334,10,ACCEPTED,accepted for execution
4,10,240,78,9,PICKED,picked for inspection
4,10,240,78,9,ACCEPTED,accepted for execution
4,5264,254,103,5,PICKED,picked for inspection
4,5264,254,103,5,ACCEPTED,accepted for execution
4,10144,267,132,7,PICKED,picked for inspection
4,10144,267,132,7,ACCEPTED,accepted for execution
4,15401,281,26,9,PICKED,picked for inspection
4,15401,281,26,9,ACCEPTED,accepted for execution
5,8,320,348,6,PICKED,picked for inspection
5,8,320,348,6,ACCEPTED,accepted for execution
5,3390,329,298,2,PICKED,picked for inspection
5,3390,329,298,2,ACCEPTED,accepted for execution
5,4904,333,282,4,PICKED,picked for inspection
5,4904,333,282,4,ACCEPTED,accepted for execution
5,7910,341,169,5,PICKED,picked for inspection
5,7910,341,169,5,ACCEPTED,accepted for execution
5,11663,351,385,7,PICKED,picked for inspection
5,11663,351,385,7,ACCEPTED,accepted for execution
5,16916,365,82,10,PICKED,picked for inspection
5,16916,365,82,10,ACCEPTED,accepted for execution
6,11,400,279,8,PICKED,picked for inspection
6,11,400,279,8,ACCEPTED,accepted for execution
6,4521,412,351,2,PICKED,picked for inspection
6,4521,412,351,2,ACCEPTED,accepted for execution
6,6401,417,323,4,PICKED,picked for inspection
6,6401,417,323,4,ACCEPTED,accepted for execution
6,9404,425,345,6,PICKED,picked for inspection
6,9404,425,345,6,ACCEPTED,accepted for execution
6,14285,438,11,10,PICKED,picked for inspection
6,14285,438,11,10,ACCEPTED,accepted for execution
7,29,480,111,4,PICKED,picked for inspection
7,29,480,111,4,ACCEPTED,accepted for execution
7,2288,486,285,1,PICKED,picked for inspection
7,2288,486,285,1,ACCEPTED,accepted for execution
7,3043,488,18,1,PICKED,picked for inspection
7,3043,488,18,1,ACCEPTED,accepted for execution
7,3798,490,254,2,PICKED,picked for inspection
7,3798,490,254,2,ACCEPTED,accepted for execution
7,5301,494,177,5,PICKED,picked for inspection
7,5301,494,177,5,ACCEPTED,accepted for execution
7,9058,504,49,9,PICKED,picked for inspection
7,9058,504,49,9,ACCEPTED,accepted for execution
7,15811,522,109,9,PICKED,picked for inspection
7,15811,522,109,9,ACCEPTED,accepted for execution
8,11,560,54,1,PICKED,picked for inspection
8,11,560,54,1,ACCEPTED,accepted for execution
8,398,561,77,7,PICKED,picked for inspection
8,398,561,77,7,ACCEPTED,accepted for execution
8,4526,572,35,2,PICKED,picked for inspection
8,4526,572,35,2,ACCEPTED,accepted for execution
8,5654,575,360,3,PICKED,picked for inspection
8,5654,575,360,3,ACCEPTED,accepted for execution
8,7156,579,213,4,PICKED,picked for inspection
8,7156,579,213,4,ACCEPTED,accepted for execution
8,10160,587,293,5,PICKED,picked for inspection
8,10160,587,293,5,ACCEPTED,accepted for execution
8,13166,595,104,7,PICKED,picked for inspection
8,13166,595,104,7,ACCEPTED,accepted for execution
8,17294,606,320,6,PICKED,picked for inspection
8,17294,606,320,6,ACCEPTED,accepted for execution
8,20671,615,96,7,PICKED,picked for inspection
8,20671,615,96,7,ACCEPTED,accepted for execution
9,4,640,117,1,PICKED,picked for inspection
9,4,640,117,1,ACCEPTED,accepted for execution
9,390,641,185,3,PICKED,picked for inspection
9,390,641,185,3,ACCEPTED,accepted for execution
9,1894,645,100,6,PICKED,picked for inspection
9,1894,645,100,6,ACCEPTED,accepted for execution
9,5277,654,304,8,PICKED,picked for inspection
9,5277,654,304,8,ACCEPTED,accepted for execution
9,9779,666,156,5,PICKED,picked for inspection
9,9779,666,156,5,ACCEPTED,accepted for execution
9,12785,674,225,8,PICKED,picked for inspection
9,12785,674,225,8,ACCEPTED,accepted for execution
9,17287,686,341,10,PICKED,picked for inspection
9,17287,686,341,10,ACCEPTED,accepted for execution
10,10,720,152,1,PICKED,picked for inspection
10,10,720,152,1,ACCEPTED,accepted for execution
10,396,721,136,3,PICKED,picked for inspection
10,396,721,136,3,ACCEPTED,accepted for execution
10,1903,725,99,4,PICKED,picked for inspection
10,1903,725,99,4,ACCEPTED,accepted for execution
10,4157,731,265,6,PICKED,picked for inspection
10,4157,731,265,6,ACCEPTED,accepted for execution
10,7535,740,183,9,PICKED,picked for inspection
10,7535,740,183,9,ACCEPTED,accepted for execution
10,12790,754,266,9,PICKED,picked for inspection
10,12790,754,266,9,ACCEPTED,accepted for execution
