sep=,
sprint,systemTime,modelTime,taskID,storyPoints,start/end,BackEnd Exp,FrontEnd Exp,Design Exp
1,23,0,13,1,start,3.0,15.0,21.0
1,1523,4,13,1,end,3.15,15.15,21.0
1,1526,4,203,6,start,3.15,15.15,21.0
1,7526,20,203,6,end,3.15,16.05,21.0
2,61,80,197,2,start,3.15,16.05,21.0
2,1937,85,197,2,end,3.4499999999999997,16.05,21.3
2,1940,85,21,5,start,3.4499999999999997,16.05,21.3
2,6815,98,21,5,end,3.4499999999999997,16.8,21.3
2,6821,98,396,8,start,3.4499999999999997,16.8,21.3
2,12822,114,396,8,end,3.4499999999999997,18.0,22.5
2,12824,114,16,9,start,3.4499999999999997,18.0,22.5
2,26324,150,16,9,end,4.8,19.35,22.5
3,30,160,234,3,start,4.8,19.35,22.5
3,3030,168,234,3,end,4.8,19.8,22.5
3,3032,168,193,4,start,4.8,19.8,22.5
3,6032,176,193,4,end,4.8,20.400000000000002,23.1
3,6037,176,333,6,start,4.8,20.400000000000002,23.1
3,9413,185,333,6,end,4.8,21.3,23.1
3,9415,185,301,6,start,4.8,21.3,23.1
3,15416,201,301,6,end,5.699999999999999,22.2,23.1
3,15421,201,264,7,start,5.699999999999999,22.2,23.1
3,20671,215,264,7,end,6.749999999999999,23.25,23.1
4,11,240,58,1,start,6.749999999999999,23.25,23.1
4,386,241,58,1,end,6.8999999999999995,23.4,23.25
4,388,241,364,2,start,6.8999999999999995,23.4,23.25
4,1889,245,364,2,end,7.199999999999999,23.7,23.25
4,1891,245,337,3,start,7.199999999999999,23.7,23.25
4,4142,251,337,3,end,7.6499999999999995,24.15,23.25
4,4146,251,5,6,start,7.6499999999999995,24.15,23.25
4,7522,260,5,6,end,7.6499999999999995,25.049999999999997,23.25
4,7525,260,262,7,start,7.6499999999999995,25.049999999999997,23.25
4,11651,271,262,7,end,7.6499999999999995,26.099999999999998,24.3
4,11657,271,244,10,start,7.6499999999999995,26.099999999999998,24.3
4,17657,287,244,10,end,7.6499999999999995,27.599999999999998,24.3
5,30,320,368,1,start,7.6499999999999995,27.599999999999998,24.3
5,780,322,368,1,end,7.8,27.599999999999998,24.45
5,783,322,338,5,start,7.8,27.599999999999998,24.45
5,3784,330,338,5,end,7.8,28.349999999999998,24.45
5,3788,330,282,4,start,7.8,28.349999999999998,24.45
5,6788,338,282,4,end,8.4,28.95,24.45
5,6794,338,78,9,start,8.4,28.95,24.45
5,12045,352,78,9,end,8.4,30.0,24.45
5,12053,352,385,7,start,8.4,30.0,24.45
5,16178,363,385,7,end,8.4,30.0,25.5
5,16184,363,250,9,start,8.4,30.0,25.5
5,22184,379,250,9,end,9.75,30.0,26.85
6,42,400,326,2,start,9.75,30.0,26.85
6,1167,403,326,2,end,9.75,30.0,26.85
6,1171,403,369,6,start,9.75,30.0,26.85
6,4547,412,369,6,end,9.75,30.0,26.85
6,4553,412,348,6,start,9.75,30.0,26.85
6,7929,421,348,6,end,9.75,30.0,26.85
6,7935,421,279,8,start,9.75,30.0,26.85
6,12435,433,279,8,end,9.75,30.0,26.85
6,12438,433,94,8,start,9.75,30.0,26.85
6,16938,445,94,8,end,9.75,30.0,26.85
6,16944,445,221,7,start,9.75,30.0,26.85
6,22195,459,221,7,end,10.8,30.0,26.85
7,40,480,19,2,start,10.8,30.0,26.85
7,1165,483,19,2,end,10.8,30.0,26.85
7,1169,483,243,3,start,10.8,30.0,26.85
7,2669,487,243,3,end,10.8,30.0,26.85
7,2674,487,111,4,start,10.8,30.0,26.85
7,4924,493,111,4,end,10.8,30.0,26.85
7,4927,493,90,4,start,10.8,30.0,26.85
7,7177,499,90,4,end,10.8,30.0,26.85
7,7180,499,201,5,start,10.8,30.0,26.85
7,10181,507,201,5,end,10.8,30.0,26.85
7,10188,507,177,5,start,10.8,30.0,26.85
7,13938,517,177,5,end,11.55,30.0,26.85
7,13943,517,161,7,start,11.55,30.0,26.85
7,19194,531,161,7,end,12.600000000000001,30.0,26.85
7,19197,531,49,9,start,12.600000000000001,30.0,26.85
7,25947,549,49,9,end,13.950000000000001,30.0,26.85
8,22,560,54,1,start,13.950000000000001,30.0,26.85
8,398,561,54,1,end,13.950000000000001,30.0,26.85
8,404,561,27,4,start,13.950000000000001,30.0,26.85
8,2654,567,27,4,end,13.950000000000001,30.0,26.85
8,2659,567,311,5,start,13.950000000000001,30.0,26.85
8,5659,575,311,5,end,13.950000000000001,30.0,26.85
8,5662,575,77,7,start,13.950000000000001,30.0,26.85
8,9787,586,77,7,end,13.950000000000001,30.0,26.85
8,9792,586,35,2,start,13.950000000000001,30.0,26.85
8,11293,590,35,2,end,14.250000000000002,30.0,26.85
8,11298,590,67,2,start,14.250000000000002,30.0,26.85
8,12423,593,67,2,end,14.550000000000002,30.0,27.150000000000002
8,12427,593,227,5,start,14.550000000000002,30.0,27.150000000000002
8,16177,603,227,5,end,15.300000000000002,30.0,27.150000000000002
8,16184,603,293,5,start,15.300000000000002,30.0,27.150000000000002
8,19934,613,293,5,end,16.050000000000004,30.0,27.150000000000002
8,19940,613,96,7,start,16.050000000000004,30.0,27.150000000000002
8,24440,625,96,7,end,17.100000000000005,30.0,28.200000000000003
9,52,640,185,3,start,17.100000000000005,30.0,28.200000000000003
9,1553,644,185,3,end,17.100000000000005,30.0,28.200000000000003
9,1556,644,100,6,start,17.100000000000005,30.0,28.200000000000003
9,4931,653,100,6,end,17.100000000000005,30.0,28.200000000000003
9,4934,653,265,6,start,17.100000000000005,30.0,28.200000000000003
9,8310,662,265,6,end,17.100000000000005,30.0,28.200000000000003
9,8313,662,304,8,start,17.100000000000005,30.0,28.200000000000003
9,12813,674,304,8,end,17.100000000000005,30.0,28.200000000000003
9,12819,674,162,1,start,17.100000000000005,30.0,28.200000000000003
9,13195,675,162,1,end,17.250000000000004,30.0,28.35
9,13198,675,187,3,start,17.250000000000004,30.0,28.35
9,15448,681,187,3,end,17.700000000000003,30.0,28.35
9,15455,681,156,5,start,17.700000000000003,30.0,28.35
9,19205,691,156,5,end,18.450000000000003,30.0,28.35
9,19208,691,397,7,start,18.450000000000003,30.0,28.35
9,24459,705,397,7,end,19.500000000000004,30.0,28.35
9,24464,705,308,1,start,19.500000000000004,30.0,28.35
9,24840,706,308,1,end,19.650000000000002,30.0,28.5
10,52,720,136,3,start,19.650000000000002,30.0,28.5
10,1552,724,136,3,end,19.650000000000002,30.0,28.5
10,1555,724,99,4,start,19.650000000000002,30.0,28.5
10,3806,730,99,4,end,19.650000000000002,30.0,28.5
10,3809,730,51,6,start,19.650000000000002,30.0,28.5
10,7184,739,51,6,end,19.650000000000002,30.0,28.5
10,7191,739,183,9,start,19.650000000000002,30.0,28.5
10,12442,753,183,9,end,19.650000000000002,30.0,28.5
10,12451,753,266,9,start,19.650000000000002,30.0,28.5
10,17701,767,266,9,end,19.650000000000002,30.0,28.5
10,17706,767,253,9,start,19.650000000000002,30.0,28.5
10,22957,781,253,9,end,19.650000000000002,30.0,28.5
10,22963,781,66,10,start,19.650000000000002,30.0,28.5
10,28963,797,66,10,end,19.650000000000002,30.0,28.5
11,32,800,315,3,start,19.650000000000002,30.0,28.5
11,1532,804,315,3,end,19.650000000000002,30.0,28.5
11,1545,804,347,5,start,19.650000000000002,30.0,28.5
11,4546,812,347,5,end,19.650000000000002,30.0,28.5
11,4553,812,346,8,start,19.650000000000002,30.0,28.5
11,9053,824,346,8,end,19.650000000000002,30.0,28.5
11,9056,824,134,3,start,19.650000000000002,30.0,28.5
11,11307,830,134,3,end,20.1,30.0,28.5
11,11310,830,226,4,start,20.1,30.0,28.5
11,13560,836,226,4,end,20.700000000000003,30.0,29.1
11,13562,836,28,6,start,20.700000000000003,30.0,29.1
11,16937,845,28,6,end,21.6,30.0,29.1
11,16941,845,230,9,start,21.6,30.0,29.1
11,22191,859,230,9,end,22.950000000000003,30.0,29.1
11,22194,859,80,10,start,22.950000000000003,30.0,29.1
11,28195,875,80,10,end,24.450000000000003,30.0,29.1
12,1,880,273,1,start,24.450000000000003,30.0,29.1
12,377,881,273,1,end,24.450000000000003,30.0,29.25
