sep=,
TaskName,TaskID,Priority,StoryPoints,RequiredSkills
RandomTask_195,195,1,9,FrontEnd
RandomTask_230,230,1,9,BackEnd FrontEnd
RandomTask_164,164,1,3,BackEnd
RandomTask_31,31,1,2,BackEnd FrontEnd
RandomTask_130,130,1,6,BackEnd FrontEnd
RandomTask_299,299,1,8,Design
RandomTask_110,110,1,6,Design
RandomTask_202,202,1,2,BackEnd
RandomTask_113,113,1,2,BackEnd Design
RandomTask_28,28,1,6,BackEnd FrontEnd
RandomTask_217,217,1,4,BackEnd Design
RandomTask_289,289,1,2,BackEnd
RandomTask_379,379,1,1,BackEnd Design
RandomTask_295,295,1,7,BackEnd
RandomTask_212,212,1,10,BackEnd
RandomTask_322,322,1,1,BackEnd FrontEnd
RandomTask_280,280,1,3,Design
RandomTask_80,80,1,10,BackEnd FrontEnd
RandomTask_97,97,1,3,Design
RandomTask_255,255,1,7,FrontEnd
RandomTask_218,218,1,1,BackEnd FrontEnd
RandomTask_4,4,1,3,BackEnd Design
RandomTask_380,380,1,9,BackEnd FrontEnd
RandomTask_388,388,1,1,BackEnd
RandomTask_114,114,1,2,Design FrontEnd
RandomTask_55,55,1,7,BackEnd
RandomTask_268,268,1,7,BackEnd Design FrontEnd
RandomTask_81,81,1,5,BackEnd Design FrontEnd
RandomTask_34,34,1,8,BackEnd Design FrontEnd
RandomTask_347,347,1,5,FrontEnd
RandomTask_274,274,1,4,BackEnd
RandomTask_41,41,1,6,FrontEnd
RandomTask_118,118,1,9,BackEnd FrontEnd
RandomTask_59,59,1,1,FrontEnd
RandomTask_98,98,1,6,BackEnd FrontEnd
RandomTask_346,346,1,8,FrontEnd
RandomTask_134,134,1,3,BackEnd FrontEnd
RandomTask_106,106,1,4,BackEnd Design FrontEnd
RandomTask_15,15,1,8,BackEnd Design
RandomTask_76,76,1,1,FrontEnd
RandomTask_232,232,1,3,BackEnd Design FrontEnd
RandomTask_275,275,1,3,BackEnd
RandomTask_300,300,1,3,BackEnd
RandomTask_315,315,1,3,FrontEnd
RandomTask_226,226,1,4,BackEnd Design FrontEnd
RandomTask_33,33,1,8,BackEnd
RandomTask_175,175,1,4,Design FrontEnd
RandomTask_105,105,1,8,BackEnd Design FrontEnd
RandomTask_39,39,1,5,BackEnd Design
RandomTask_278,278,1,9,BackEnd Design FrontEnd
RandomTask_186,186,1,7,BackEnd Design FrontEnd
RandomTask_273,273,1,1,Design
RandomTask_238,238,1,3,BackEnd Design FrontEnd
RandomTask_395,395,1,3,Design
RandomTask_327,327,1,1,BackEnd FrontEnd
