sep=,
sprint,systemTime,modelTime,taskID,storyPoints,start/end,BackEnd Exp,FrontEnd Exp,Design Exp
1,6,0,371,1,start,0.1,0.1,0.1
1,3006,8,371,1,end,0.25,0.1,0.25
1,3012,8,167,4,start,0.25,0.1,0.25
1,15013,40,167,4,end,0.25,0.7,0.85
1,15019,40,184,5,start,0.25,0.7,0.85
1,30019,80,184,5,end,1.0,1.45,0.85
2,9,80,248,1,start,1.0,1.45,0.85
2,3010,88,248,1,end,1.15,1.45,1.0
2,3018,88,393,9,start,1.15,1.45,1.0
2,30018,160,393,9,end,2.5,1.45,2.3499999999999996
3,7,160,13,1,start,2.5,1.45,2.3499999999999996
3,3007,168,13,1,end,2.65,1.5999999999999999,2.3499999999999996
3,3015,168,167,4,start,2.65,1.5999999999999999,2.3499999999999996
3,15015,200,167,4,end,2.65,2.1999999999999997,2.9499999999999997
4,13,240,396,4,start,2.65,2.1999999999999997,2.9499999999999997
4,12013,272,396,4,end,2.65,2.8,3.55
5,19,320,301,6,start,2.65,2.8,3.55
5,18020,368,301,6,end,3.55,3.6999999999999997,3.55
6,5,400,125,3,start,3.55,3.6999999999999997,3.55
6,9006,424,125,3,end,4.0,3.6999999999999997,3.55
7,29,480,71,5,start,4.0,3.6999999999999997,3.55
7,15029,520,71,5,end,4.75,3.6999999999999997,3.55
8,21,560,5,6,start,4.75,3.6999999999999997,3.55
8,18021,608,5,6,end,4.75,4.6,3.55
9,18,640,103,5,start,4.75,4.6,3.55
9,15018,680,103,5,end,4.75,4.6,4.3
10,9,720,287,1,start,4.75,4.6,4.3
10,3009,728,287,1,end,4.9,4.75,4.45
10,3013,728,257,9,start,4.9,4.75,4.45
10,30013,800,257,9,end,4.9,4.75,5.8
11,22,800,87,9,start,4.9,4.75,5.8
11,9022,824,87,9,end,4.9,4.75,7.1499999999999995
12,21,880,389,3,start,4.9,4.75,7.1499999999999995
12,4521,892,389,3,end,4.9,5.2,7.6
12,4526,892,169,5,start,4.9,5.2,7.6
12,9401,905,169,5,end,4.9,5.95,8.35
12,9407,905,313,5,start,4.9,5.95,8.35
12,15782,922,313,5,end,5.65,6.7,9.1
12,15788,922,294,10,start,5.65,6.7,9.1
12,25538,948,294,10,end,7.15,6.7,10.6
13,40,960,43,4,start,7.15,6.7,10.6
13,3790,970,43,4,end,7.75,6.7,10.6
13,3794,970,235,7,start,7.75,6.7,10.6
13,10544,988,235,7,end,8.8,6.7,10.6
13,10547,988,362,10,start,8.8,6.7,10.6
13,20298,1014,362,10,end,8.8,6.7,12.1
14,40,1040,326,2,start,8.8,6.7,12.1
14,1915,1045,326,2,end,8.8,7.0,12.1
14,1919,1045,89,2,start,8.8,7.0,12.1
14,3794,1050,89,2,end,9.100000000000001,7.3,12.4
14,3799,1050,329,4,start,9.100000000000001,7.3,12.4
14,7549,1060,329,4,end,9.700000000000001,7.8999999999999995,12.4
14,7554,1060,23,10,start,9.700000000000001,7.8999999999999995,12.4
14,17305,1086,23,10,end,9.700000000000001,7.8999999999999995,13.9
14,17309,1086,343,9,start,9.700000000000001,7.8999999999999995,13.9
14,26309,1110,343,9,end,11.05,9.25,13.9
15,6,1120,18,1,start,11.05,9.25,13.9
15,757,1122,18,1,end,11.200000000000001,9.4,14.05
15,761,1122,111,4,start,11.200000000000001,9.4,14.05
15,4511,1132,111,4,end,11.200000000000001,10.0,14.05
15,4515,1132,177,5,start,11.200000000000001,10.0,14.05
15,9391,1145,177,5,end,11.950000000000001,10.75,14.05
15,9395,1145,161,7,start,11.950000000000001,10.75,14.05
15,16145,1163,161,7,end,13.000000000000002,11.8,14.05
15,16149,1163,109,9,start,13.000000000000002,11.8,14.05
15,25149,1187,109,9,end,14.350000000000001,13.15,15.4
16,11,1200,342,1,start,14.350000000000001,13.15,15.4
16,761,1202,342,1,end,14.350000000000001,13.15,15.55
16,763,1202,90,4,start,14.350000000000001,13.15,15.55
16,4513,1212,90,4,end,14.350000000000001,13.75,15.55
16,4517,1212,213,4,start,14.350000000000001,13.75,15.55
16,8267,1222,213,4,end,14.350000000000001,14.35,16.150000000000002
16,8271,1222,252,5,start,14.350000000000001,14.35,16.150000000000002
16,13146,1235,252,5,end,15.100000000000001,15.1,16.900000000000002
16,13150,1235,189,6,start,15.100000000000001,15.1,16.900000000000002
16,19150,1251,189,6,end,16.0,16.0,17.8
17,22,1280,263,2,start,16.0,16.0,17.8
17,1898,1285,263,2,end,16.3,16.0,18.1
17,1904,1285,246,5,start,16.3,16.0,18.1
17,6779,1298,246,5,end,17.05,16.0,18.1
17,6786,1298,72,5,start,17.05,16.0,18.1
17,11661,1311,72,5,end,17.05,16.75,18.85
17,11666,1311,341,10,start,17.05,16.75,18.85
17,21416,1337,341,10,end,17.05,16.75,20.35
18,29,1360,2,6,start,17.05,16.75,20.35
18,3405,1369,2,6,end,17.05,16.75,21.25
18,3413,1369,366,5,start,17.05,16.75,21.25
18,7164,1379,366,5,end,17.05,17.5,22.0
18,7169,1379,56,6,start,17.05,17.5,22.0
18,11669,1391,56,6,end,17.05,18.4,22.9
18,11677,1391,207,7,start,17.05,18.4,22.9
18,16927,1405,207,7,end,17.05,19.45,23.95
18,16930,1405,308,10,start,17.05,19.45,23.95
18,24805,1426,308,10,end,18.55,20.95,25.45
19,8,1440,384,1,start,18.55,20.95,25.45
19,759,1442,384,1,end,18.7,20.95,25.45
19,766,1442,127,2,start,18.7,20.95,25.45
19,1891,1445,127,2,end,18.7,21.25,25.75
19,1894,1445,8,2,start,18.7,21.25,25.75
19,3020,1448,8,2,end,18.7,21.55,26.05
19,3023,1448,358,3,start,18.7,21.55,26.05
19,4523,1452,358,3,end,18.7,22.0,26.5
