sep=,
sprint,velocity,storyPoints,duration,idlePeriod
1,0.7242033762860853,58,80,0
2,0.6619924724377977,53,80,0
3,0.5746169220519654,46,80,0
4,0.5689808304344608,41,72,8
5,0.5496701978812712,44,80,0
6,0.7487876770942284,42,56,24
7,0.6740563211503895,54,80,0
8,0.7963772642098688,51,64,16
9,0.9821467545506133,60,61,19
10,1.0566642220249354,73,69,11
11,1.538195184317068,77,50,30
12,1.8455022186365468,122,66,14
13,1.8673260572987722,146,78,2
14,2.096884628551866,147,70,10
15,2.1014217025839703,162,77,3
16,2.7044430135222153,168,62,18
17,2.8002489110143127,216,77,3
18,3.2576795147720605,222,68,12
19,3.2227352386087897,255,79,1
20,3.5940468651044966,227,63,17
