sep=,
sprint,systemTime,modelTime,task,storyPoints,picked/accepted/rejected,description
1,20,0,21,5,PICKED,picked for inspection
1,20,0,21,5,ACCEPTED,accepted for execution
1,15022,40,184,7,PICKED,picked for inspection
1,15022,40,184,7,REJECTED,Mostafa cannot finish task within the remaining time
1,15022,40,396,8,PICKED,picked for inspection
1,15022,40,396,8,REJECTED,Mostafa cannot finish task within the remaining time
1,15022,40,393,10,PICKED,picked for inspection
1,15022,40,393,10,REJECTED,Mostafa cannot finish task within the remaining time
1,15022,40,284,10,PICKED,picked for inspection
1,15022,40,284,10,REJECTED,Mostafa cannot finish task within the remaining time
1,15022,40,184,7,PICKED,no other tasks could be accepted-trying to break this task
1,15022,40,184,5,ACCEPTED,broke task into smaller parts-accepted for execution
1,15022,40,184,5,ACCEPTED,accepted for execution
1,30029,80,396,3,PICKED,picked for inspection
1,30029,80,396,3,REJECTED,Mostafa cannot finish task within the remaining time
1,30029,80,393,10,PICKED,picked for inspection
1,30029,80,393,10,REJECTED,Mostafa cannot finish task within the remaining time
1,30029,80,284,10,PICKED,picked for inspection
1,30029,80,284,10,REJECTED,Mostafa cannot finish task within the remaining time
1,30029,80,396,3,PICKED,no other tasks could be accepted-trying to break this task
1,30029,80,396,3,REJECTED,could not break this task-Mostafa finished for this sprint
2,18,80,296,9,PICKED,picked for inspection
2,18,80,296,9,ACCEPTED,accepted for execution
2,27022,152,284,10,PICKED,picked for inspection
2,27022,152,284,10,REJECTED,Mostafa cannot finish task within the remaining time
2,27022,152,284,10,PICKED,no other tasks could be accepted-trying to break this task
2,27022,152,284,10,REJECTED,could not break this task-Mostafa finished for this sprint
3,0,160,353,3,PICKED,picked for inspection
3,0,160,353,3,ACCEPTED,accepted for execution
5,1,320,53,3,PICKED,picked for inspection
5,1,320,53,3,ACCEPTED,accepted for execution
6,3,400,365,3,PICKED,picked for inspection
6,3,400,365,3,ACCEPTED,accepted for execution
6,9005,424,288,1,PICKED,picked for inspection
6,9005,424,288,1,ACCEPTED,accepted for execution
7,1,480,125,3,PICKED,picked for inspection
7,1,480,125,3,ACCEPTED,accepted for execution
7,9005,504,176,2,PICKED,picked for inspection
7,9005,504,176,2,ACCEPTED,accepted for execution
8,13,560,297,8,PICKED,picked for inspection
8,13,560,297,8,ACCEPTED,accepted for execution
9,13,640,364,2,PICKED,picked for inspection
9,13,640,364,2,ACCEPTED,accepted for execution
10,5,720,146,6,PICKED,picked for inspection
10,5,720,146,6,ACCEPTED,accepted for execution
11,10,800,7,6,PICKED,picked for inspection
11,10,800,7,6,ACCEPTED,accepted for execution
12,17,880,337,3,PICKED,picked for inspection
12,17,880,337,3,ACCEPTED,accepted for execution
12,9024,904,330,10,PICKED,picked for inspection
12,9024,904,330,10,REJECTED,Mostafa cannot finish task within the remaining time
12,9024,904,330,10,PICKED,no other tasks could be accepted-trying to break this task
12,9024,904,330,10,REJECTED,could not break this task-Mostafa finished for this sprint
13,29,960,46,7,PICKED,picked for inspection
13,29,960,46,7,ACCEPTED,accepted for execution
14,10,1040,314,1,PICKED,picked for inspection
14,10,1040,314,1,ACCEPTED,accepted for execution
