sep=,
TaskName,TaskID,Priority,StoryPoints,PerformerID,RequiredSkills
RandomTask_292,292,1,1,4,BackEnd Design FrontEnd
RandomTask_122,122,1,1,6,BackEnd FrontEnd
RandomTask_338,338,1,5,3,FrontEnd
RandomTask_194,194,1,5,4,Design FrontEnd
RandomTask_6,6,1,6,7,BackEnd
RandomTask_383,383,1,6,2,Design
RandomTask_141,141,1,8,6,Design
RandomTask_169,169,1,5,3,Design FrontEnd
RandomTask_168,168,1,6,2,Design FrontEnd
RandomTask_181,181,1,8,4,BackEnd
RandomTask_87,87,1,9,7,Design
RandomTask_82,82,1,10,6,Design
RandomTask_46,46,1,7,1,BackEnd
RandomTask_250,250,1,9,2,BackEnd Design FrontEnd
RandomTask_1,1,1,8,3,BackEnd Design
