sep=,
sprint,systemTime,modelTime,taskID,storyPoints,start/end,BackEnd Exp,FrontEnd Exp,Design Exp
1,17,0,236,5,start,21.0,21.0,21.0
1,3017,8,236,5,end,21.0,21.75,21.75
1,3021,8,396,8,start,21.0,21.75,21.75
1,7521,20,396,8,end,21.0,22.95,22.95
2,10,80,281,3,start,21.0,22.95,22.95
2,1511,84,281,3,end,21.45,23.4,23.4
2,1517,84,264,7,start,21.45,23.4,23.4
2,5642,95,264,7,end,22.5,24.45,23.4
2,5646,95,354,3,start,22.5,24.45,23.4
2,7146,99,354,3,end,22.5,24.9,23.849999999999998
2,7152,99,176,10,start,22.5,24.9,23.849999999999998
2,13152,115,176,10,end,22.5,26.4,25.349999999999998
2,13158,115,364,2,start,22.5,26.4,25.349999999999998
2,14285,118,364,2,end,22.8,26.7,25.349999999999998
2,14293,118,398,7,start,22.8,26.7,25.349999999999998
2,18418,129,398,7,end,22.8,27.75,25.349999999999998
2,18427,129,71,5,start,22.8,27.75,25.349999999999998
2,21427,137,71,5,end,23.55,27.75,25.349999999999998
2,21433,137,296,9,start,23.55,27.75,25.349999999999998
2,26683,151,296,9,end,24.900000000000002,27.75,25.349999999999998
3,16,160,250,9,start,24.900000000000002,27.75,25.349999999999998
3,5266,174,250,9,end,26.250000000000004,29.1,26.7
3,5271,174,168,6,start,26.250000000000004,29.1,26.7
3,8646,183,168,6,end,26.250000000000004,30.0,27.599999999999998
3,8655,183,309,7,start,26.250000000000004,30.0,27.599999999999998
3,12780,194,309,7,end,26.250000000000004,30.0,28.65
3,12785,194,103,5,start,26.250000000000004,30.0,28.65
3,15786,202,103,5,end,26.250000000000004,30.0,29.4
3,15792,202,200,5,start,26.250000000000004,30.0,29.4
3,18793,210,200,5,end,27.000000000000004,30.0,29.4
3,18800,210,6,6,start,27.000000000000004,30.0,29.4
3,22175,219,6,6,end,27.900000000000002,30.0,29.4
3,22179,219,181,8,start,27.900000000000002,30.0,29.4
3,26680,231,181,8,end,29.1,30.0,29.4
3,26685,231,145,4,start,29.1,30.0,29.4
3,28935,237,145,4,end,29.1,30.0,29.4
4,19,240,178,3,start,29.1,30.0,29.4
4,1520,244,178,3,end,29.55,30.0,29.849999999999998
4,1524,244,241,4,start,29.55,30.0,29.849999999999998
4,3774,250,241,4,end,30.0,30.0,30.0
4,3797,250,385,7,start,30.0,30.0,30.0
4,7922,261,385,7,end,30.0,30.0,30.0
4,7929,261,43,4,start,30.0,30.0,30.0
4,10180,267,43,4,end,30.0,30.0,30.0
4,10186,267,344,10,start,30.0,30.0,30.0
4,16187,283,344,10,end,30.0,30.0,30.0
4,16191,283,11,10,start,30.0,30.0,30.0
4,22191,299,11,10,end,30.0,30.0,30.0
4,22198,299,373,5,start,30.0,30.0,30.0
4,25199,307,373,5,end,30.0,30.0,30.0
4,25205,307,332,5,start,30.0,30.0,30.0
4,28206,315,332,5,end,30.0,30.0,30.0
5,13,320,285,1,start,30.0,30.0,30.0
5,388,321,285,1,end,30.0,30.0,30.0
5,392,321,303,10,start,30.0,30.0,30.0
5,6393,337,303,10,end,30.0,30.0,30.0
5,6398,337,163,7,start,30.0,30.0,30.0
5,10523,348,163,7,end,30.0,30.0,30.0
5,10530,348,251,8,start,30.0,30.0,30.0
5,15030,360,251,8,end,30.0,30.0,30.0
5,15036,360,220,3,start,30.0,30.0,30.0
5,16536,364,220,3,end,30.0,30.0,30.0
5,16543,364,121,9,start,30.0,30.0,30.0
5,21794,378,121,9,end,30.0,30.0,30.0
5,21800,378,342,1,start,30.0,30.0,30.0
5,22176,379,342,1,end,30.0,30.0,30.0
5,22183,379,227,5,start,30.0,30.0,30.0
5,25183,387,227,5,end,30.0,30.0,30.0
5,25189,387,260,3,start,30.0,30.0,30.0
5,26689,391,260,3,end,30.0,30.0,30.0
5,26693,391,224,5,start,30.0,30.0,30.0
5,29694,399,224,5,end,30.0,30.0,30.0
6,31,400,291,4,start,30.0,30.0,30.0
6,2282,406,291,4,end,30.0,30.0,30.0
6,2286,406,54,1,start,30.0,30.0,30.0
6,2661,407,54,1,end,30.0,30.0,30.0
6,2668,407,67,2,start,30.0,30.0,30.0
6,3794,410,67,2,end,30.0,30.0,30.0
6,3798,410,32,4,start,30.0,30.0,30.0
6,6049,416,32,4,end,30.0,30.0,30.0
6,6053,416,228,2,start,30.0,30.0,30.0
6,7178,419,228,2,end,30.0,30.0,30.0
6,7185,419,246,5,start,30.0,30.0,30.0
6,10186,427,246,5,end,30.0,30.0,30.0
6,10192,427,72,5,start,30.0,30.0,30.0
6,13192,435,72,5,end,30.0,30.0,30.0
6,13199,435,95,2,start,30.0,30.0,30.0
6,14324,438,95,2,end,30.0,30.0,30.0
6,14331,438,86,10,start,30.0,30.0,30.0
6,20331,454,86,10,end,30.0,30.0,30.0
6,20336,454,107,6,start,30.0,30.0,30.0
6,23711,463,107,6,end,30.0,30.0,30.0
6,23715,463,277,4,start,30.0,30.0,30.0
6,25965,469,277,4,end,30.0,30.0,30.0
6,25969,469,142,6,start,30.0,30.0,30.0
6,29345,478,142,6,end,30.0,30.0,30.0
7,32,480,229,10,start,30.0,30.0,30.0
7,6033,496,229,10,end,30.0,30.0,30.0
7,6038,496,185,3,start,30.0,30.0,30.0
7,7539,500,185,3,end,30.0,30.0,30.0
7,7543,500,155,6,start,30.0,30.0,30.0
7,10919,509,155,6,end,30.0,30.0,30.0
7,10924,509,183,9,start,30.0,30.0,30.0
7,16174,523,183,9,end,30.0,30.0,30.0
7,16182,523,51,6,start,30.0,30.0,30.0
7,19557,532,51,6,end,30.0,30.0,30.0
7,19563,532,331,2,start,30.0,30.0,30.0
7,20689,535,331,2,end,30.0,30.0,30.0
7,20695,535,210,3,start,30.0,30.0,30.0
7,22195,539,210,3,end,30.0,30.0,30.0
7,22201,539,99,4,start,30.0,30.0,30.0
7,24452,545,99,4,end,30.0,30.0,30.0
7,24456,545,136,3,start,30.0,30.0,30.0
7,25956,549,136,3,end,30.0,30.0,30.0
7,25960,549,44,4,start,30.0,30.0,30.0
7,28211,555,44,4,end,30.0,30.0,30.0
