sep=,
sprint,velocity,storyPoints,duration,idlePeriod
1,1.1547103861517976,74,64,16
2,1.0988279168886521,88,80,0
3,1.0362564922093487,83,80,0
4,1.8954509177972867,76,40,40
5,1.835480970931975,147,80,0
6,2.0665475828519306,145,70,10
7,2.0221689634511684,162,80,0
8,1.9842590435621816,159,80,0
9,1.9827237825823398,157,79,1
10,2.135724852071006,154,72,8
11,2.1369344161605133,167,78,2
12,2.190708285803173,169,77,3
13,2.6186715437692243,168,64,16
14,2.6355293234621815,206,78,2
15,2.6344507724311974,206,78,2
16,1.9264836138175376,29,15,65
