sep=,
sprint,systemTime,modelTime,taskID,storyPoints,start/end,BackEnd Exp,FrontEnd Exp,Design Exp
1,11,0,184,7,start,21.0,21.0,21.0
1,4136,11,184,7,end,22.05,22.05,21.0
1,4139,11,396,8,start,22.05,22.05,21.0
1,8639,23,396,8,end,22.05,23.25,22.2
1,8642,23,25,4,start,22.05,23.25,22.2
1,10894,29,25,4,end,22.650000000000002,23.25,22.2
2,19,80,334,10,start,22.650000000000002,23.25,22.2
2,6020,96,334,10,end,24.150000000000002,24.75,22.2
2,6032,96,296,9,start,24.150000000000002,24.75,22.2
2,11282,110,296,9,end,25.500000000000004,24.75,22.2
3,19,160,30,7,start,25.500000000000004,24.75,22.2
3,4144,171,30,7,end,26.550000000000004,25.8,22.2
3,4155,171,305,1,start,26.550000000000004,25.8,22.2
3,4530,172,305,1,end,26.550000000000004,25.95,22.349999999999998
3,4535,172,398,7,start,26.550000000000004,25.95,22.349999999999998
3,8661,183,398,7,end,26.550000000000004,27.0,22.349999999999998
4,11,240,387,2,start,26.550000000000004,27.0,22.349999999999998
4,1136,243,387,2,end,26.850000000000005,27.3,22.65
4,1142,243,297,8,start,26.850000000000005,27.3,22.65
4,5643,255,297,8,end,26.850000000000005,28.5,23.849999999999998
4,5646,255,71,5,start,26.850000000000005,28.5,23.849999999999998
4,8646,263,71,5,end,27.600000000000005,28.5,23.849999999999998
5,7,320,58,1,start,27.600000000000005,28.5,23.849999999999998
5,383,321,58,1,end,27.750000000000004,28.65,23.999999999999996
5,388,321,359,2,start,27.750000000000004,28.65,23.999999999999996
5,1513,324,359,2,end,28.050000000000004,28.95,23.999999999999996
5,1515,324,5,6,start,28.050000000000004,28.95,23.999999999999996
5,4890,333,5,6,end,28.050000000000004,29.849999999999998,23.999999999999996
5,4896,333,180,2,start,28.050000000000004,29.849999999999998,23.999999999999996
5,6022,336,180,2,end,28.350000000000005,29.849999999999998,23.999999999999996
6,17,400,340,10,start,28.350000000000005,29.849999999999998,23.999999999999996
6,6018,416,340,10,end,28.350000000000005,29.849999999999998,25.499999999999996
6,6023,416,200,5,start,28.350000000000005,29.849999999999998,25.499999999999996
6,9023,424,200,5,end,29.100000000000005,29.849999999999998,25.499999999999996
7,9,480,368,1,start,29.100000000000005,29.849999999999998,25.499999999999996
7,384,481,368,1,end,29.250000000000004,29.849999999999998,25.649999999999995
7,389,481,337,3,start,29.250000000000004,29.849999999999998,25.649999999999995
7,1889,485,337,3,end,29.700000000000003,30.0,25.649999999999995
7,1893,485,60,10,start,29.700000000000003,30.0,25.649999999999995
7,7893,501,60,10,end,29.700000000000003,30.0,27.149999999999995
8,7,560,1,8,start,29.700000000000003,30.0,27.149999999999995
8,4508,572,1,8,end,30.0,30.0,28.349999999999994
8,4511,572,87,9,start,30.0,30.0,28.349999999999994
8,9762,586,87,9,end,30.0,30.0,29.699999999999996
9,12,640,258,1,start,30.0,30.0,29.699999999999996
9,388,641,258,1,end,30.0,30.0,29.849999999999994
9,392,641,391,2,start,30.0,30.0,29.849999999999994
9,1517,644,391,2,end,30.0,30.0,30.0
9,1519,644,383,6,start,30.0,30.0,30.0
9,4894,653,383,6,end,30.0,30.0,30.0
9,4898,653,294,10,start,30.0,30.0,30.0
9,10898,669,294,10,end,30.0,30.0,30.0
10,18,720,369,6,start,30.0,30.0,30.0
10,3394,729,369,6,end,30.0,30.0,30.0
10,3399,729,298,2,start,30.0,30.0,30.0
10,4524,732,298,2,end,30.0,30.0,30.0
10,4528,732,235,7,start,30.0,30.0,30.0
10,8654,743,235,7,end,30.0,30.0,30.0
10,8659,743,279,8,start,30.0,30.0,30.0
10,13160,755,279,8,end,30.0,30.0,30.0
10,13164,755,11,10,start,30.0,30.0,30.0
10,19164,771,11,10,end,30.0,30.0,30.0
11,37,800,102,9,start,30.0,30.0,30.0
11,5287,814,102,9,end,30.0,30.0,30.0
11,5291,814,211,2,start,30.0,30.0,30.0
11,6417,817,211,2,end,30.0,30.0,30.0
11,6421,817,306,2,start,30.0,30.0,30.0
11,7546,820,306,2,end,30.0,30.0,30.0
11,7550,820,23,10,start,30.0,30.0,30.0
11,13551,836,23,10,end,30.0,30.0,30.0
11,13556,836,332,5,start,30.0,30.0,30.0
11,16556,844,332,5,end,30.0,30.0,30.0
11,16560,844,285,1,start,30.0,30.0,30.0
11,16935,845,285,1,end,30.0,30.0,30.0
11,16939,845,208,2,start,30.0,30.0,30.0
11,18064,848,208,2,end,30.0,30.0,30.0
11,18068,848,303,10,start,30.0,30.0,30.0
11,24068,864,303,10,end,30.0,30.0,30.0
12,4,880,177,5,start,30.0,30.0,30.0
12,3005,888,177,5,end,30.0,30.0,30.0
12,3009,888,256,10,start,30.0,30.0,30.0
12,9009,904,256,10,end,30.0,30.0,30.0
12,9014,904,270,8,start,30.0,30.0,30.0
12,13514,916,270,8,end,30.0,30.0,30.0
12,13519,916,213,4,start,30.0,30.0,30.0
12,15769,922,213,4,end,30.0,30.0,30.0
12,15774,922,328,5,start,30.0,30.0,30.0
12,18774,930,328,5,end,30.0,30.0,30.0
12,18790,930,342,1,start,30.0,30.0,30.0
12,19166,931,342,1,end,30.0,30.0,30.0
12,19171,931,27,4,start,30.0,30.0,30.0
12,21422,937,27,4,end,30.0,30.0,30.0
12,21427,937,224,10,start,30.0,30.0,30.0
12,27427,953,224,10,end,30.0,30.0,30.0
13,20,960,357,9,start,30.0,30.0,30.0
13,5271,974,357,9,end,30.0,30.0,30.0
13,5281,974,263,2,start,30.0,30.0,30.0
13,6406,977,263,2,end,30.0,30.0,30.0
13,6411,977,62,10,start,30.0,30.0,30.0
13,12411,993,62,10,end,30.0,30.0,30.0
13,12416,993,75,5,start,30.0,30.0,30.0
13,15416,1001,75,5,end,30.0,30.0,30.0
13,15422,1001,64,5,start,30.0,30.0,30.0
13,18423,1009,64,5,end,30.0,30.0,30.0
13,18428,1009,381,3,start,30.0,30.0,30.0
13,19928,1013,381,3,end,30.0,30.0,30.0
13,19934,1013,100,6,start,30.0,30.0,30.0
13,23309,1022,100,6,end,30.0,30.0,30.0
13,23313,1022,117,1,start,30.0,30.0,30.0
13,23688,1023,117,1,end,30.0,30.0,30.0
13,23692,1023,17,4,start,30.0,30.0,30.0
13,25943,1029,17,4,end,30.0,30.0,30.0
14,16,1040,56,6,start,30.0,30.0,30.0
14,3392,1049,56,6,end,30.0,30.0,30.0
14,3398,1049,142,9,start,30.0,30.0,30.0
14,8649,1063,142,9,end,30.0,30.0,30.0
14,8657,1063,304,8,start,30.0,30.0,30.0
14,13157,1075,304,8,end,30.0,30.0,30.0
14,13161,1075,157,8,start,30.0,30.0,30.0
14,17661,1087,157,8,end,30.0,30.0,30.0
14,17664,1087,183,9,start,30.0,30.0,30.0
14,22914,1101,183,9,end,30.0,30.0,30.0
15,10,1120,266,9,start,30.0,30.0,30.0
15,5260,1134,266,9,end,30.0,30.0,30.0
15,5264,1134,91,1,start,30.0,30.0,30.0
15,5639,1135,91,1,end,30.0,30.0,30.0
15,5643,1135,331,2,start,30.0,30.0,30.0
15,6768,1138,331,2,end,30.0,30.0,30.0
15,6776,1138,199,8,start,30.0,30.0,30.0
15,11277,1150,199,8,end,30.0,30.0,30.0
15,11281,1150,165,7,start,30.0,30.0,30.0
15,15407,1161,165,7,end,30.0,30.0,30.0
15,15411,1161,92,8,start,30.0,30.0,30.0
15,19911,1173,92,8,end,30.0,30.0,30.0
15,19928,1173,394,3,start,30.0,30.0,30.0
15,21428,1177,394,3,end,30.0,30.0,30.0
15,21433,1177,66,10,start,30.0,30.0,30.0
15,27433,1193,66,10,end,30.0,30.0,30.0
16,9,1200,110,6,start,30.0,30.0,30.0
16,3384,1209,110,6,end,30.0,30.0,30.0
16,3390,1209,289,2,start,30.0,30.0,30.0
16,4516,1212,289,2,end,30.0,30.0,30.0
16,4516,1212,322,1,start,30.0,30.0,30.0
16,4891,1213,322,1,end,30.0,30.0,30.0
16,4891,1213,80,10,start,30.0,30.0,30.0
16,10892,1229,80,10,end,30.0,30.0,30.0
16,10897,1229,347,5,start,30.0,30.0,30.0
16,13897,1237,347,5,end,30.0,30.0,30.0
16,13906,1237,41,6,start,30.0,30.0,30.0
16,17282,1246,41,6,end,30.0,30.0,30.0
16,17287,1246,175,4,start,30.0,30.0,30.0
16,19537,1252,175,4,end,30.0,30.0,30.0
