sep=,
TaskName,TaskID,Priority,StoryPoints,RequiredSkills
RandomTask_192,192,1,6,BackEnd Design
RandomTask_221,221,1,7,BackEnd FrontEnd
RandomTask_350,350,1,2,Design FrontEnd
RandomTask_139,139,1,3,BackEnd
RandomTask_241,241,1,4,BackEnd Design
RandomTask_11,11,1,10,BackEnd FrontEnd
RandomTask_24,24,1,1,Design
RandomTask_94,94,1,8,FrontEnd
RandomTask_102,102,1,9,Design
RandomTask_52,52,1,1,BackEnd Design FrontEnd
RandomTask_231,231,1,7,BackEnd Design FrontEnd
RandomTask_133,133,1,6,Design FrontEnd
RandomTask_326,326,1,2,FrontEnd
RandomTask_40,40,1,6,BackEnd Design FrontEnd
RandomTask_89,89,1,2,BackEnd Design FrontEnd
RandomTask_329,329,1,4,BackEnd FrontEnd
RandomTask_373,373,1,5,Design
RandomTask_211,211,1,2,Design FrontEnd
RandomTask_306,306,1,2,BackEnd
RandomTask_343,343,1,9,BackEnd FrontEnd
RandomTask_23,23,1,10,Design
RandomTask_351,351,1,2,Design
RandomTask_83,83,1,3,BackEnd Design
RandomTask_112,112,1,6,BackEnd Design FrontEnd
RandomTask_302,302,1,2,Design
RandomTask_123,123,1,10,Design
RandomTask_158,158,1,10,Design
RandomTask_126,126,1,2,BackEnd Design FrontEnd
RandomTask_332,332,1,5,BackEnd
RandomTask_170,170,1,4,BackEnd Design
RandomTask_285,285,1,1,Design
RandomTask_208,208,1,2,Design
RandomTask_201,201,1,5,FrontEnd
RandomTask_352,352,1,1,BackEnd Design
RandomTask_245,245,1,6,Design
RandomTask_303,303,1,10,Design
RandomTask_254,254,1,2,Design FrontEnd
RandomTask_173,173,1,3,Design
RandomTask_49,49,1,9,BackEnd FrontEnd
RandomTask_111,111,1,4,FrontEnd
RandomTask_386,386,1,5,BackEnd
RandomTask_68,68,1,7,BackEnd Design
RandomTask_37,37,1,6,BackEnd
