sep=,
sprint,systemTime,modelTime,task,storyPoints,picked/accepted/rejected,description
1,5,0,19,2,PICKED,picked for inspection
1,5,0,19,2,ACCEPTED,accepted for execution
1,1132,3,146,6,PICKED,picked for inspection
1,1132,3,146,6,ACCEPTED,accepted for execution
1,4509,12,374,7,PICKED,picked for inspection
1,4509,12,374,7,ACCEPTED,accepted for execution
2,20,80,395,3,PICKED,picked for inspection
2,20,80,395,3,ACCEPTED,accepted for execution
2,1528,84,241,4,PICKED,picked for inspection
2,1528,84,241,4,ACCEPTED,accepted for execution
2,3783,90,57,4,PICKED,picked for inspection
2,3783,90,57,4,ACCEPTED,accepted for execution
2,6037,96,183,9,PICKED,picked for inspection
2,6037,96,183,9,ACCEPTED,accepted for execution
2,11290,110,189,6,PICKED,picked for inspection
2,11290,110,189,6,ACCEPTED,accepted for execution
2,14668,119,73,10,PICKED,picked for inspection
2,14668,119,73,10,ACCEPTED,accepted for execution
3,0,160,152,1,PICKED,picked for inspection
3,0,160,152,1,ACCEPTED,accepted for execution
3,381,161,243,3,PICKED,picked for inspection
3,381,161,243,3,ACCEPTED,accepted for execution
3,1884,165,354,3,PICKED,picked for inspection
3,1884,165,354,3,ACCEPTED,accepted for execution
3,3387,169,328,5,PICKED,picked for inspection
3,3387,169,328,5,ACCEPTED,accepted for execution
3,6391,177,319,5,PICKED,picked for inspection
3,6391,177,319,5,ACCEPTED,accepted for execution
3,9393,185,151,6,PICKED,picked for inspection
3,9393,185,151,6,ACCEPTED,accepted for execution
3,12771,194,166,7,PICKED,picked for inspection
3,12771,194,166,7,ACCEPTED,accepted for execution
3,16901,205,396,8,PICKED,picked for inspection
3,16901,205,396,8,ACCEPTED,accepted for execution
3,21405,217,11,10,PICKED,picked for inspection
3,21405,217,11,10,ACCEPTED,accepted for execution
4,14,240,326,2,PICKED,picked for inspection
4,14,240,326,2,ACCEPTED,accepted for execution
4,1150,243,99,4,PICKED,picked for inspection
4,1150,243,99,4,ACCEPTED,accepted for execution
4,3402,249,338,5,PICKED,picked for inspection
4,3402,249,338,5,ACCEPTED,accepted for execution
4,6405,257,145,9,PICKED,picked for inspection
4,6405,257,145,9,ACCEPTED,accepted for execution
4,11658,271,392,9,PICKED,picked for inspection
4,11658,271,392,9,ACCEPTED,accepted for execution
4,16910,285,116,10,PICKED,picked for inspection
4,16910,285,116,10,ACCEPTED,accepted for execution
4,22914,301,284,10,PICKED,picked for inspection
4,22914,301,284,10,ACCEPTED,accepted for execution
5,0,320,76,1,PICKED,picked for inspection
5,0,320,76,1,ACCEPTED,accepted for execution
5,378,321,185,3,PICKED,picked for inspection
5,378,321,185,3,ACCEPTED,accepted for execution
5,1881,325,21,5,PICKED,picked for inspection
5,1881,325,21,5,ACCEPTED,accepted for execution
5,4884,333,107,6,PICKED,picked for inspection
5,4884,333,107,6,ACCEPTED,accepted for execution
5,8263,342,51,6,PICKED,picked for inspection
5,8263,342,51,6,ACCEPTED,accepted for execution
5,11641,351,348,6,PICKED,picked for inspection
5,11641,351,348,6,ACCEPTED,accepted for execution
5,15020,360,244,10,PICKED,picked for inspection
5,15020,360,244,10,ACCEPTED,accepted for execution
5,21024,376,229,10,PICKED,picked for inspection
5,21024,376,229,10,ACCEPTED,accepted for execution
6,10,400,321,1,PICKED,picked for inspection
6,10,400,321,1,ACCEPTED,accepted for execution
6,394,401,131,3,PICKED,picked for inspection
6,394,401,131,3,ACCEPTED,accepted for execution
6,1897,405,274,4,PICKED,picked for inspection
6,1897,405,274,4,ACCEPTED,accepted for execution
6,4149,411,246,5,PICKED,picked for inspection
6,4149,411,246,5,ACCEPTED,accepted for execution
6,7153,419,124,7,PICKED,picked for inspection
6,7153,419,124,7,ACCEPTED,accepted for execution
6,11282,430,78,9,PICKED,picked for inspection
6,11282,430,78,9,ACCEPTED,accepted for execution
6,16534,444,195,9,PICKED,picked for inspection
6,16534,444,195,9,ACCEPTED,accepted for execution
6,21788,458,276,10,PICKED,picked for inspection
6,21788,458,276,10,ACCEPTED,accepted for execution
7,19,480,113,2,PICKED,picked for inspection
7,19,480,113,2,ACCEPTED,accepted for execution
7,1149,483,193,4,PICKED,picked for inspection
7,1149,483,193,4,ACCEPTED,accepted for execution
7,3402,489,252,5,PICKED,picked for inspection
7,3402,489,252,5,ACCEPTED,accepted for execution
7,6405,497,203,6,PICKED,picked for inspection
7,6405,497,203,6,ACCEPTED,accepted for execution
7,9785,506,231,7,PICKED,picked for inspection
7,9785,506,231,7,ACCEPTED,accepted for execution
7,13913,517,309,7,PICKED,picked for inspection
7,13913,517,309,7,ACCEPTED,accepted for execution
7,18042,528,109,9,PICKED,picked for inspection
7,18042,528,109,9,ACCEPTED,accepted for execution
7,23295,542,239,10,PICKED,picked for inspection
7,23295,542,239,10,ACCEPTED,accepted for execution
8,13,560,273,1,PICKED,picked for inspection
8,13,560,273,1,ACCEPTED,accepted for execution
8,400,561,59,1,PICKED,picked for inspection
8,400,561,59,1,ACCEPTED,accepted for execution
8,777,562,85,2,PICKED,picked for inspection
8,777,562,85,2,ACCEPTED,accepted for execution
8,1904,565,139,3,PICKED,picked for inspection
8,1904,565,139,3,ACCEPTED,accepted for execution
8,3407,569,88,5,PICKED,picked for inspection
8,3407,569,88,5,ACCEPTED,accepted for execution
8,6409,577,339,6,PICKED,picked for inspection
8,6409,577,339,6,ACCEPTED,accepted for execution
8,9789,586,221,7,PICKED,picked for inspection
8,9789,586,221,7,ACCEPTED,accepted for execution
8,13916,597,266,9,PICKED,picked for inspection
8,13916,597,266,9,ACCEPTED,accepted for execution
8,19172,611,80,10,PICKED,picked for inspection
8,19172,611,80,10,ACCEPTED,accepted for execution
9,1,640,400,1,PICKED,picked for inspection
9,1,640,400,1,ACCEPTED,accepted for execution
9,386,641,35,2,PICKED,picked for inspection
9,386,641,35,2,ACCEPTED,accepted for execution
9,1514,644,336,3,PICKED,picked for inspection
9,1514,644,336,3,ACCEPTED,accepted for execution
9,3017,648,227,5,PICKED,picked for inspection
9,3017,648,227,5,ACCEPTED,accepted for execution
9,6021,656,318,6,PICKED,picked for inspection
9,6021,656,318,6,ACCEPTED,accepted for execution
9,9399,665,247,7,PICKED,picked for inspection
9,9399,665,247,7,ACCEPTED,accepted for execution
9,13528,676,375,9,PICKED,picked for inspection
9,13528,676,375,9,ACCEPTED,accepted for execution
