sep=,
TaskName,TaskID,Priority,StoryPoints,PerformerID,RequiredSkills
RandomTask_57,57,1,4,7,BackEnd Design FrontEnd
RandomTask_81,81,1,5,6,BackEnd Design FrontEnd
RandomTask_189,189,1,6,1,BackEnd Design FrontEnd
RandomTask_83,83,1,3,7,BackEnd Design
RandomTask_184,184,1,7,4,BackEnd FrontEnd
RandomTask_105,105,1,8,2,BackEnd Design FrontEnd
RandomTask_290,290,1,9,3,BackEnd Design FrontEnd
RandomTask_210,210,1,3,7,BackEnd Design
RandomTask_22,22,1,3,4,BackEnd FrontEnd
RandomTask_216,216,1,6,6,BackEnd FrontEnd
RandomTask_354,354,1,3,6,Design FrontEnd
RandomTask_69,69,1,5,3,Design FrontEnd
RandomTask_236,236,1,5,7,Design FrontEnd
RandomTask_73,73,1,10,1,Design FrontEnd
RandomTask_148,148,1,4,3,Design FrontEnd
RandomTask_256,256,1,10,2,BackEnd Design
RandomTask_241,241,1,4,1,BackEnd Design
RandomTask_176,176,1,10,4,Design FrontEnd
RandomTask_228,228,1,2,3,Design FrontEnd
RandomTask_127,127,1,2,2,Design FrontEnd
RandomTask_225,225,1,8,7,Design FrontEnd
RandomTask_45,45,1,9,6,BackEnd Design
RandomTask_300,300,1,3,4,BackEnd
RandomTask_53,53,1,3,3,Design
RandomTask_386,386,1,5,1,BackEnd
RandomTask_110,110,1,6,2,Design
RandomTask_395,395,1,3,1,Design
RandomTask_100,100,1,6,7,FrontEnd
RandomTask_7,7,1,6,4,Design
RandomTask_41,41,1,6,2,FrontEnd
RandomTask_222,222,1,10,6,BackEnd
RandomTask_62,62,1,10,3,Design
RandomTask_328,328,1,5,4,BackEnd
RandomTask_37,37,1,6,7,BackEnd
RandomTask_152,152,1,1,7,FrontEnd
RandomTask_289,289,1,2,6,BackEnd
RandomTask_23,23,1,10,1,Design
RandomTask_90,90,1,4,7,FrontEnd
RandomTask_183,183,1,9,2,FrontEnd
RandomTask_179,179,1,4,1,Design
RandomTask_253,253,1,9,3,FrontEnd
RandomTask_94,94,1,8,6,FrontEnd
RandomTask_296,296,1,9,4,BackEnd
