sep=,
TaskName,TaskID,Priority,StoryPoints,PerformerID,RequiredSkills
RandomTask_287,287,1,1,1,BackEnd Design FrontEnd
RandomTask_52,52,1,1,7,BackEnd Design FrontEnd
RandomTask_351,351,1,2,6,Design
RandomTask_391,391,1,2,3,Design
RandomTask_326,326,1,2,4,FrontEnd
RandomTask_280,280,1,3,2,Design
RandomTask_315,315,1,3,1,FrontEnd
RandomTask_260,260,1,3,7,Design
RandomTask_237,237,1,3,6,BackEnd
RandomTask_187,187,1,3,3,BackEnd FrontEnd
RandomTask_312,312,1,4,2,BackEnd Design FrontEnd
RandomTask_75,75,1,5,4,BackEnd
RandomTask_165,165,1,7,1,Design
RandomTask_56,56,1,6,6,Design FrontEnd
RandomTask_84,84,1,6,3,BackEnd Design
RandomTask_141,141,1,8,7,Design
RandomTask_192,192,1,6,2,BackEnd Design
RandomTask_160,160,1,9,4,Design
RandomTask_264,264,1,7,6,BackEnd FrontEnd
RandomTask_392,392,1,9,1,FrontEnd
RandomTask_47,47,1,10,3,BackEnd
RandomTask_116,116,1,10,7,FrontEnd
RandomTask_272,272,1,9,2,Design FrontEnd
RandomTask_284,284,1,1,7,BackEnd Design FrontEnd
RandomTask_334,334,1,10,4,BackEnd FrontEnd
RandomTask_50,50,1,9,6,BackEnd Design FrontEnd
RandomTask_330,330,1,10,1,BackEnd Design FrontEnd
RandomTask_284,284,1,9,3,BackEnd Design FrontEnd
