sep=,
sprint,velocity,storyPoints,duration,idlePeriod
1,0.649004859215869,52,80,0
2,0.6121123288583896,49,80,0
3,0.5872063968015991,47,80,0
4,0.5122609448923835,41,80,0
5,0.4244623476929223,34,80,0
6,0.3873708763745418,31,80,0
7,0.3471193720379147,25,72,8
8,0.33736505397840866,27,80,0
9,0.3747501665556296,24,64,16
10,0.3192788924261494,23,72,8
11,0.6868703688285738,22,32,48
12,0.6245836109260493,50,80,0
13,0.9780256367571167,47,48,32
14,1.8057403535449534,76,42,38
15,1.8112725077245444,136,75,5
16,1.8181507784758264,142,78,2
17,1.996681842734779,138,69,11
18,2.0896123922338266,159,76,4
19,2.1149055428690056,163,77,3
20,2.791563275434243,165,59,21
21,3.307508939213349,222,67,13
22,3.2952326442663797,261,79,1
23,3.499562554680665,256,73,7
