sep=,
sprint,systemTime,modelTime,taskID,storyPoints,start/end,BackEnd Exp,FrontEnd Exp,Design Exp
1,2,0,377,5,start,1.0,3.0,2.0
1,15002,40,377,5,end,1.75,3.75,2.75
1,15006,40,332,5,start,1.75,3.75,2.75
1,30007,80,332,5,end,2.5,3.75,2.75
2,5,80,366,5,start,2.5,3.75,2.75
2,15006,120,366,5,end,2.5,4.5,3.5
2,15012,120,174,5,start,2.5,4.5,3.5
2,30012,160,174,5,end,3.25,4.5,3.5
3,17,160,254,2,start,3.25,4.5,3.5
3,6017,176,254,2,end,3.25,4.8,3.8
3,6021,176,146,6,start,3.25,4.8,3.8
3,24021,224,146,6,end,3.25,4.8,4.699999999999999
4,14,240,45,9,start,3.25,4.8,4.699999999999999
4,27014,312,45,9,end,4.6,4.8,6.049999999999999
5,15,320,210,3,start,4.6,4.8,6.049999999999999
5,4515,332,210,3,end,5.05,4.8,6.499999999999999
5,4518,332,183,8,start,5.05,4.8,6.499999999999999
5,28518,396,183,8,end,5.05,6.0,6.499999999999999
6,2,400,81,5,start,5.05,6.0,6.499999999999999
6,4878,413,81,5,end,5.8,6.75,7.249999999999999
7,11,480,256,10,start,5.8,6.75,7.249999999999999
7,9761,506,256,10,end,7.3,6.75,8.75
8,46,560,354,3,start,7.3,6.75,8.75
8,3047,568,354,3,end,7.3,7.2,9.2
8,3051,568,168,6,start,7.3,7.2,9.2
8,9051,584,168,6,end,7.3,8.1,10.1
8,9056,584,395,3,start,7.3,8.1,10.1
8,12057,592,395,3,end,7.3,8.1,10.549999999999999
8,12060,592,328,5,start,7.3,8.1,10.549999999999999
8,16936,605,328,5,end,8.05,8.1,10.549999999999999
9,16,640,96,7,start,8.05,8.1,10.549999999999999
9,6766,658,96,7,end,9.100000000000001,9.15,11.6
9,6779,658,263,2,start,9.100000000000001,9.15,11.6
9,8654,663,263,2,end,9.400000000000002,9.15,11.9
9,8658,663,323,4,start,9.400000000000002,9.15,11.9
9,12408,673,323,4,end,10.000000000000002,9.75,11.9
9,12413,673,151,6,start,10.000000000000002,9.75,11.9
9,18414,689,151,6,end,10.900000000000002,10.65,11.9
10,15,720,320,6,start,10.900000000000002,10.65,11.9
10,6015,736,320,6,end,11.800000000000002,11.55,12.8
10,6019,736,389,3,start,11.800000000000002,11.55,12.8
10,9020,744,389,3,end,11.800000000000002,12.0,13.25
10,9025,744,267,1,start,11.800000000000002,12.0,13.25
10,9775,746,267,1,end,11.950000000000003,12.0,13.25
10,9780,746,257,9,start,11.950000000000003,12.0,13.25
10,18781,770,257,9,end,11.950000000000003,12.0,14.6
11,14,800,330,10,start,11.950000000000003,12.0,14.6
11,9765,826,330,10,end,13.450000000000003,13.5,16.1
11,9769,826,14,8,start,13.450000000000003,13.5,16.1
11,17645,847,14,8,end,14.650000000000002,13.5,16.1
11,17652,847,280,3,start,14.650000000000002,13.5,16.1
11,20653,855,280,3,end,14.650000000000002,13.5,16.55
11,20656,855,260,3,start,14.650000000000002,13.5,16.55
11,23656,863,260,3,end,14.650000000000002,13.5,17.0
12,26,880,126,2,start,14.650000000000002,13.5,17.0
12,1901,885,126,2,end,14.950000000000003,13.8,17.3
12,1904,885,270,8,start,14.950000000000003,13.8,17.3
12,9780,906,270,8,end,16.150000000000002,13.8,18.5
12,9785,906,317,6,start,16.150000000000002,13.8,18.5
12,15786,922,317,6,end,16.150000000000002,14.700000000000001,19.4
12,15792,922,76,1,start,16.150000000000002,14.700000000000001,19.4
12,16543,924,76,1,end,16.150000000000002,14.850000000000001,19.4
12,16549,924,21,5,start,16.150000000000002,14.850000000000001,19.4
12,21424,937,21,5,end,16.150000000000002,15.600000000000001,19.4
12,21431,937,51,6,start,16.150000000000002,15.600000000000001,19.4
12,27431,953,51,6,end,16.150000000000002,16.5,19.4
13,11,960,345,6,start,16.150000000000002,16.5,19.4
