sep=,
sprint,systemTime,modelTime,taskID,storyPoints,start/end,BackEnd Exp,FrontEnd Exp,Design Exp
1,33,0,254,2,start,5.0,8.0,21.0
1,1533,4,254,2,end,5.0,8.3,21.3
1,1538,4,146,6,start,5.0,8.3,21.3
1,4913,13,146,6,end,5.0,8.3,22.2
1,4917,13,255,7,start,5.0,8.3,22.2
1,11667,31,255,7,end,5.0,9.350000000000001,22.2
2,30,80,254,2,start,5.0,9.350000000000001,22.2
2,1530,84,254,2,end,5.0,9.650000000000002,22.5
2,1534,84,83,3,start,5.0,9.650000000000002,22.5
2,4534,92,83,3,end,5.45,9.650000000000002,22.95
2,4538,92,177,5,start,5.45,9.650000000000002,22.95
2,9413,105,177,5,end,6.2,10.400000000000002,22.95
2,9417,105,19,2,start,6.2,10.400000000000002,22.95
2,11292,110,19,2,end,6.2,10.700000000000003,22.95
3,6,160,81,5,start,6.2,10.700000000000003,22.95
3,3757,170,81,5,end,6.95,11.450000000000003,23.7
3,3760,170,225,8,start,6.95,11.450000000000003,23.7
3,9760,186,225,8,end,6.95,12.650000000000002,24.9
3,9764,186,22,3,start,6.95,12.650000000000002,24.9
3,12764,194,22,3,end,7.4,13.100000000000001,24.9
3,12773,194,62,10,start,7.4,13.100000000000001,24.9
3,18773,210,62,10,end,7.4,13.100000000000001,26.4
4,15,240,96,7,start,7.4,13.100000000000001,26.4
4,5640,255,96,7,end,8.450000000000001,14.150000000000002,27.45
4,5643,255,176,10,start,8.450000000000001,14.150000000000002,27.45
4,13143,275,176,10,end,8.450000000000001,15.650000000000002,28.95
4,13147,275,395,3,start,8.450000000000001,15.650000000000002,28.95
4,14647,279,395,3,end,8.450000000000001,15.650000000000002,29.4
4,14651,279,179,4,start,8.450000000000001,15.650000000000002,29.4
4,16901,285,179,4,end,8.450000000000001,15.650000000000002,30.0
4,16904,285,152,1,start,8.450000000000001,15.650000000000002,30.0
4,17655,287,152,1,end,8.450000000000001,15.800000000000002,30.0
4,17662,287,94,8,start,8.450000000000001,15.800000000000002,30.0
4,25537,308,94,8,end,8.450000000000001,17.000000000000004,30.0
4,25541,308,205,4,start,8.450000000000001,17.000000000000004,30.0
4,29292,318,205,4,end,9.05,17.000000000000004,30.0
5,46,320,178,3,start,9.05,17.000000000000004,30.0
5,2296,326,178,3,end,9.5,17.450000000000003,30.0
5,2304,326,26,9,start,9.5,17.450000000000003,30.0
5,11304,350,26,9,end,10.85,18.800000000000004,30.0
5,11309,350,262,7,start,10.85,18.800000000000004,30.0
5,16559,364,262,7,end,10.85,19.850000000000005,30.0
5,16562,364,212,10,start,10.85,19.850000000000005,30.0
5,26312,390,212,10,end,12.35,19.850000000000005,30.0
6,10,400,312,4,start,12.35,19.850000000000005,30.0
6,3010,408,312,4,end,12.95,20.450000000000006,30.0
6,3018,408,187,3,start,12.95,20.450000000000006,30.0
6,5269,414,187,3,end,13.399999999999999,20.900000000000006,30.0
6,5271,414,264,7,start,13.399999999999999,20.900000000000006,30.0
6,10521,428,264,7,end,14.45,21.950000000000006,30.0
6,10524,428,116,10,start,14.45,21.950000000000006,30.0
6,16525,444,116,10,end,14.45,23.450000000000006,30.0
6,16528,444,107,6,start,14.45,23.450000000000006,30.0
6,19903,453,107,6,end,14.45,24.350000000000005,30.0
6,19913,453,160,9,start,14.45,24.350000000000005,30.0
6,25163,467,160,9,end,14.45,24.350000000000005,30.0
7,31,480,314,1,start,14.45,24.350000000000005,30.0
7,406,481,314,1,end,14.6,24.500000000000004,30.0
7,409,481,128,6,start,14.6,24.500000000000004,30.0
7,4535,492,128,6,end,15.5,25.400000000000002,30.0
7,4538,492,242,7,start,15.5,25.400000000000002,30.0
7,8663,503,242,7,end,15.5,26.450000000000003,30.0
7,8666,503,185,3,start,15.5,26.450000000000003,30.0
7,10166,507,185,3,end,15.5,26.900000000000002,30.0
7,10170,507,51,6,start,15.5,26.900000000000002,30.0
7,13545,516,51,6,end,15.5,27.8,30.0
7,13549,516,154,3,start,15.5,27.8,30.0
7,15049,520,154,3,end,15.5,28.25,30.0
7,15052,520,5,6,start,15.5,28.25,30.0
7,18427,529,5,6,end,15.5,29.15,30.0
7,18431,529,378,8,start,15.5,29.15,30.0
7,24431,545,378,8,end,16.7,29.15,30.0
8,12,560,70,5,start,16.7,29.15,30.0
8,3762,570,70,5,end,17.45,29.9,30.0
8,3764,570,223,9,start,17.45,29.9,30.0
8,10515,588,223,9,end,18.8,29.9,30.0
8,10517,588,117,1,start,18.8,29.9,30.0
8,10892,589,117,1,end,18.8,30.0,30.0
8,10895,589,306,2,start,18.8,30.0,30.0
8,12771,594,306,2,end,19.1,30.0,30.0
8,12774,594,190,5,start,19.1,30.0,30.0
8,17649,607,190,5,end,19.85,30.0,30.0
8,17653,607,304,8,start,19.85,30.0,30.0
8,22153,619,304,8,end,19.85,30.0,30.0
8,22163,619,302,2,start,19.85,30.0,30.0
8,23288,622,302,2,end,19.85,30.0,30.0
8,23294,622,381,3,start,19.85,30.0,30.0
8,24795,626,381,3,end,19.85,30.0,30.0
9,42,640,34,8,start,19.85,30.0,30.0
9,5292,654,34,8,end,21.05,30.0,30.0
9,5296,654,344,10,start,21.05,30.0,30.0
9,11296,670,344,10,end,22.55,30.0,30.0
9,11300,670,134,3,start,22.55,30.0,30.0
9,12800,674,134,3,end,23.0,30.0,30.0
9,12803,674,204,1,start,23.0,30.0,30.0
9,13178,675,204,1,end,23.15,30.0,30.0
9,13182,675,359,2,start,23.15,30.0,30.0
9,14307,678,359,2,end,23.45,30.0,30.0
9,14310,678,371,1,start,23.45,30.0,30.0
9,14685,679,371,1,end,23.599999999999998,30.0,30.0
9,14689,679,3,7,start,23.599999999999998,30.0,30.0
9,18814,690,3,7,end,23.599999999999998,30.0,30.0
9,18817,690,193,4,start,23.599999999999998,30.0,30.0
9,21067,696,193,4,end,23.599999999999998,30.0,30.0
9,21071,696,143,8,start,23.599999999999998,30.0,30.0
9,25571,708,143,8,end,23.599999999999998,30.0,30.0
10,11,720,163,7,start,23.599999999999998,30.0,30.0
10,4136,731,163,7,end,24.65,30.0,30.0
10,4148,731,36,3,start,24.65,30.0,30.0
10,5648,735,36,3,end,25.099999999999998,30.0,30.0
10,5651,735,130,6,start,25.099999999999998,30.0,30.0
10,9026,744,130,6,end,25.999999999999996,30.0,30.0
10,9029,744,80,10,start,25.999999999999996,30.0,30.0
10,15030,760,80,10,end,27.499999999999996,30.0,30.0
10,15033,760,360,3,start,27.499999999999996,30.0,30.0
10,16533,764,360,3,end,27.949999999999996,30.0,30.0
10,16541,764,240,2,start,27.949999999999996,30.0,30.0
10,17666,767,240,2,end,28.249999999999996,30.0,30.0
10,17669,767,218,1,start,28.249999999999996,30.0,30.0
10,18044,768,218,1,end,28.399999999999995,30.0,30.0
10,18048,768,233,8,start,28.399999999999995,30.0,30.0
10,22548,780,233,8,end,29.599999999999994,30.0,30.0
10,22551,780,208,2,start,29.599999999999994,30.0,30.0
10,23677,783,208,2,end,29.599999999999994,30.0,30.0
10,23680,783,59,1,start,29.599999999999994,30.0,30.0
10,24056,784,59,1,end,29.599999999999994,30.0,30.0
10,24059,784,279,8,start,29.599999999999994,30.0,30.0
10,28560,796,279,8,end,29.599999999999994,30.0,30.0
11,13,800,202,2,start,29.599999999999994,30.0,30.0
11,1139,803,202,2,end,29.899999999999995,30.0,30.0
11,1142,803,35,2,start,29.899999999999995,30.0,30.0
11,2267,806,35,2,end,30.0,30.0,30.0
11,2270,806,365,3,start,30.0,30.0,30.0
11,3770,810,365,3,end,30.0,30.0,30.0
11,3772,810,343,9,start,30.0,30.0,30.0
