sep=,
sprint,systemTime,modelTime,task,storyPoints,picked/accepted/rejected,description
1,0,0,324,1,PICKED,picked for inspection
1,0,0,324,1,ACCEPTED,accepted for execution
1,3004,8,366,5,PICKED,picked for inspection
1,3004,8,366,5,ACCEPTED,accepted for execution
1,6758,18,174,7,PICKED,picked for inspection
1,6758,18,174,7,ACCEPTED,accepted for execution
2,27782,154,324,1,PICKED,picked for inspection
2,27782,154,324,1,REJECTED,Lisa cannot finish task within the remaining time
2,27782,154,19,2,PICKED,picked for inspection
2,27782,154,19,2,ACCEPTED,accepted for execution
2,27782,154,19,2,ACCEPTED,accepted for execution
2,1878,85,83,3,PICKED,picked for inspection
2,1878,85,83,3,ACCEPTED,accepted for execution
2,4882,93,377,5,PICKED,picked for inspection
2,4882,93,377,5,ACCEPTED,accepted for execution
3,1,160,53,3,PICKED,picked for inspection
3,1,160,53,3,ACCEPTED,accepted for execution
3,1507,164,148,4,PICKED,picked for inspection
3,1507,164,148,4,ACCEPTED,accepted for execution
3,4511,172,73,10,PICKED,picked for inspection
3,4511,172,73,10,ACCEPTED,accepted for execution
4,0,240,395,3,PICKED,picked for inspection
4,0,240,395,3,ACCEPTED,accepted for execution
4,1502,244,7,6,PICKED,picked for inspection
4,1502,244,7,6,ACCEPTED,accepted for execution
4,4881,253,62,10,PICKED,picked for inspection
4,4881,253,62,10,ACCEPTED,accepted for execution
4,10885,269,23,10,PICKED,picked for inspection
4,10885,269,23,10,ACCEPTED,accepted for execution
4,16891,285,256,10,PICKED,picked for inspection
4,16891,285,256,10,ACCEPTED,accepted for execution
5,44,320,257,9,PICKED,picked for inspection
5,44,320,257,9,ACCEPTED,accepted for execution
5,5307,334,207,7,PICKED,picked for inspection
5,5307,334,207,7,ACCEPTED,accepted for execution
5,10560,348,120,6,PICKED,picked for inspection
5,10560,348,120,6,ACCEPTED,accepted for execution
5,16563,364,44,10,PICKED,picked for inspection
5,16563,364,44,10,ACCEPTED,accepted for execution
6,11,400,269,3,PICKED,picked for inspection
6,11,400,269,3,ACCEPTED,accepted for execution
6,1521,404,355,5,PICKED,picked for inspection
6,1521,404,355,5,ACCEPTED,accepted for execution
6,4524,412,340,10,PICKED,picked for inspection
6,4524,412,340,10,ACCEPTED,accepted for execution
6,10528,428,84,6,PICKED,picked for inspection
6,10528,428,84,6,ACCEPTED,accepted for execution
6,15030,440,212,10,PICKED,picked for inspection
6,15030,440,212,10,ACCEPTED,accepted for execution
7,45,480,129,3,PICKED,picked for inspection
7,45,480,129,3,ACCEPTED,accepted for execution
7,1556,484,191,8,PICKED,picked for inspection
7,1556,484,191,8,ACCEPTED,accepted for execution
7,6060,496,314,1,PICKED,picked for inspection
7,6060,496,314,1,ACCEPTED,accepted for execution
7,6814,498,126,2,PICKED,picked for inspection
7,6814,498,126,2,ACCEPTED,accepted for execution
7,8322,502,75,5,PICKED,picked for inspection
7,8322,502,75,5,ACCEPTED,accepted for execution
7,13201,515,192,6,PICKED,picked for inspection
7,13201,515,192,6,ACCEPTED,accepted for execution
7,17704,527,270,8,PICKED,picked for inspection
7,17704,527,270,8,ACCEPTED,accepted for execution
8,8,560,102,9,PICKED,picked for inspection
8,8,560,102,9,ACCEPTED,accepted for execution
8,5260,574,217,4,PICKED,picked for inspection
8,5260,574,217,4,ACCEPTED,accepted for execution
8,8264,582,101,6,PICKED,picked for inspection
8,8264,582,101,6,ACCEPTED,accepted for execution
8,14265,598,142,9,PICKED,picked for inspection
8,14265,598,142,9,ACCEPTED,accepted for execution
8,21019,616,250,9,PICKED,picked for inspection
8,21019,616,250,9,ACCEPTED,accepted for execution
9,13,640,381,3,PICKED,picked for inspection
9,13,640,381,3,ACCEPTED,accepted for execution
9,1517,644,92,8,PICKED,picked for inspection
9,1517,644,92,8,ACCEPTED,accepted for execution
9,6021,656,170,4,PICKED,picked for inspection
9,6021,656,170,4,ACCEPTED,accepted for execution
9,9024,664,12,5,PICKED,picked for inspection
9,9024,664,12,5,ACCEPTED,accepted for execution
9,12780,674,55,7,PICKED,picked for inspection
9,12780,674,55,7,ACCEPTED,accepted for execution
9,19535,692,344,10,PICKED,picked for inspection
9,19535,692,344,10,ACCEPTED,accepted for execution
10,12,720,3,7,PICKED,picked for inspection
10,12,720,3,7,ACCEPTED,accepted for execution
10,4144,731,143,8,PICKED,picked for inspection
10,4144,731,143,8,ACCEPTED,accepted for execution
10,8653,743,239,10,PICKED,picked for inspection
10,8653,743,239,10,ACCEPTED,accepted for execution
10,14655,759,133,6,PICKED,picked for inspection
10,14655,759,133,6,ACCEPTED,accepted for execution
10,19158,771,215,10,PICKED,picked for inspection
10,19158,771,215,10,ACCEPTED,accepted for execution
11,10,800,208,2,PICKED,picked for inspection
11,10,800,208,2,ACCEPTED,accepted for execution
11,1137,803,88,5,PICKED,picked for inspection
11,1137,803,88,5,ACCEPTED,accepted for execution
11,4140,811,399,8,PICKED,picked for inspection
11,4140,811,399,8,ACCEPTED,accepted for execution
11,8645,823,224,10,PICKED,picked for inspection
11,8645,823,224,10,ACCEPTED,accepted for execution
11,14649,839,313,5,PICKED,picked for inspection
11,14649,839,313,5,ACCEPTED,accepted for execution
11,18029,848,20,7,PICKED,picked for inspection
11,18029,848,20,7,ACCEPTED,accepted for execution
11,22156,859,172,10,PICKED,picked for inspection
11,22156,859,172,10,ACCEPTED,accepted for execution
12,40,880,286,5,PICKED,picked for inspection
12,40,880,286,5,ACCEPTED,accepted for execution
12,3053,888,261,6,PICKED,picked for inspection
12,3053,888,261,6,ACCEPTED,accepted for execution
12,6431,897,357,9,PICKED,picked for inspection
12,6431,897,357,9,ACCEPTED,accepted for execution
12,11684,911,363,4,PICKED,picked for inspection
12,11684,911,363,4,ACCEPTED,accepted for execution
12,13938,917,268,7,PICKED,picked for inspection
12,13938,917,268,7,ACCEPTED,accepted for execution
12,18066,928,376,8,PICKED,picked for inspection
12,18066,928,376,8,ACCEPTED,accepted for execution
