sep=,
TaskName,TaskID,Priority,StoryPoints,PerformerID,RequiredSkills
RandomTask_258,258,1,1,1,Design
RandomTask_27,27,1,4,3,FrontEnd
RandomTask_111,111,1,4,4,FrontEnd
RandomTask_171,171,1,6,7,FrontEnd
RandomTask_3,3,1,7,6,Design
RandomTask_159,159,1,7,2,Design
RandomTask_309,309,1,7,1,Design
RandomTask_203,203,1,6,3,FrontEnd
RandomTask_322,322,1,1,3,BackEnd FrontEnd
RandomTask_292,292,1,1,3,BackEnd Design FrontEnd
RandomTask_77,77,1,7,4,FrontEnd
RandomTask_371,371,1,1,3,BackEnd Design
RandomTask_359,359,1,2,4,BackEnd FrontEnd
RandomTask_134,134,1,3,3,BackEnd FrontEnd
RandomTask_143,143,1,8,6,Design
RandomTask_113,113,1,2,4,BackEnd Design
RandomTask_66,66,1,10,7,FrontEnd
RandomTask_353,353,1,3,3,BackEnd
RandomTask_36,36,1,3,4,BackEnd
RandomTask_303,303,1,10,2,Design
RandomTask_362,362,1,10,1,Design
RandomTask_307,307,1,3,4,BackEnd Design
RandomTask_193,193,1,4,7,Design FrontEnd
RandomTask_175,175,1,4,3,Design FrontEnd
RandomTask_138,138,1,3,4,BackEnd Design FrontEnd
RandomTask_200,200,1,5,1,BackEnd
RandomTask_239,239,1,10,6,Design
RandomTask_226,226,1,4,4,BackEnd Design FrontEnd
RandomTask_169,169,1,5,7,Design FrontEnd
RandomTask_82,82,1,10,2,Design
RandomTask_194,194,1,5,3,Design FrontEnd
RandomTask_235,235,1,7,1,BackEnd
RandomTask_38,38,1,6,4,Design FrontEnd
RandomTask_133,133,1,6,6,Design FrontEnd
RandomTask_98,98,1,6,7,BackEnd FrontEnd
RandomTask_385,385,1,7,2,Design FrontEnd
RandomTask_104,104,1,7,3,BackEnd FrontEnd
RandomTask_163,163,1,7,1,BackEnd Design
RandomTask_252,252,1,5,4,BackEnd Design FrontEnd
RandomTask_157,157,1,8,7,BackEnd
RandomTask_231,231,1,7,2,BackEnd Design FrontEnd
RandomTask_215,215,1,10,6,Design FrontEnd
RandomTask_118,118,1,9,3,BackEnd FrontEnd
RandomTask_109,109,1,9,1,BackEnd Design FrontEnd
