sep=,
sprint,systemTime,modelTime,taskID,storyPoints,start/end,BackEnd Exp,FrontEnd Exp,Design Exp
1,11,0,254,2,start,4.0,23.0,11.0
1,1512,4,254,2,end,4.0,23.3,11.3
1,1515,4,374,7,start,4.0,23.3,11.3
1,8265,22,374,7,end,5.05,24.35,11.3
1,8270,22,174,7,start,5.05,24.35,11.3
1,15020,40,174,7,end,6.1,24.35,11.3
2,49,80,374,7,start,6.1,24.35,11.3
2,5300,94,374,7,end,7.1499999999999995,25.400000000000002,11.3
2,5304,94,216,6,start,7.1499999999999995,25.400000000000002,11.3
2,9805,106,216,6,end,8.049999999999999,26.3,11.3
2,9808,106,174,7,start,8.049999999999999,26.3,11.3
2,16558,124,174,7,end,9.1,26.3,11.3
3,1,160,81,5,start,9.1,26.3,11.3
3,3751,170,81,5,end,9.85,27.05,12.05
3,3754,170,241,4,start,9.85,27.05,12.05
3,7504,180,241,4,end,10.45,27.05,12.65
3,7507,180,100,6,start,10.45,27.05,12.65
3,10882,189,100,6,end,10.45,27.95,12.65
3,10886,189,253,9,start,10.45,27.95,12.65
3,16136,203,253,9,end,10.45,29.3,12.65
4,18,240,22,3,start,10.45,29.3,12.65
4,2268,246,22,3,end,10.899999999999999,29.75,12.65
4,2272,246,137,4,start,10.899999999999999,29.75,12.65
4,5272,254,137,4,end,10.899999999999999,30.0,13.25
4,5275,254,282,4,start,10.899999999999999,30.0,13.25
4,8275,262,282,4,end,11.499999999999998,30.0,13.25
4,8278,262,179,4,start,11.499999999999998,30.0,13.25
4,12029,272,179,4,end,11.499999999999998,30.0,13.85
4,12033,272,206,4,start,11.499999999999998,30.0,13.85
4,15783,282,206,4,end,12.099999999999998,30.0,13.85
4,15788,282,37,6,start,12.099999999999998,30.0,13.85
4,21788,298,37,6,end,12.999999999999998,30.0,13.85
5,36,320,120,6,start,12.999999999999998,30.0,13.85
5,4911,333,120,6,end,13.899999999999999,30.0,14.75
5,4911,333,263,2,start,13.899999999999999,30.0,14.75
5,6787,338,263,2,end,14.2,30.0,15.05
5,6787,338,396,8,start,14.2,30.0,15.05
5,12788,354,396,8,end,14.2,30.0,16.25
5,12791,354,44,10,start,14.2,30.0,16.25
5,20291,374,44,10,end,14.2,30.0,17.75
6,7,400,281,3,start,14.2,30.0,17.75
6,2258,406,281,3,end,14.649999999999999,30.0,18.2
6,2259,406,319,5,start,14.649999999999999,30.0,18.2
6,6010,416,319,5,end,14.649999999999999,30.0,18.95
6,6013,416,262,7,start,14.649999999999999,30.0,18.95
6,11263,430,262,7,end,14.649999999999999,30.0,20.0
6,11266,430,65,4,start,14.649999999999999,30.0,20.0
6,15017,440,65,4,end,14.649999999999999,30.0,20.6
6,15020,440,269,3,start,14.649999999999999,30.0,20.6
6,16520,444,269,3,end,14.649999999999999,30.0,21.05
6,16523,444,280,3,start,14.649999999999999,30.0,21.05
6,18024,448,280,3,end,14.649999999999999,30.0,21.5
7,4,480,312,4,start,14.649999999999999,30.0,21.5
7,2629,487,312,4,end,15.249999999999998,30.0,22.1
7,2632,487,84,6,start,15.249999999999998,30.0,22.1
7,7132,499,84,6,end,16.15,30.0,23.0
7,7134,499,68,7,start,16.15,30.0,23.0
7,12384,513,68,7,end,17.2,30.0,24.05
7,12388,513,391,2,start,17.2,30.0,24.05
7,13513,516,391,2,end,17.2,30.0,24.35
7,13517,516,75,5,start,17.2,30.0,24.35
7,18392,529,75,5,end,17.95,30.0,24.35
7,18395,529,107,6,start,17.95,30.0,24.35
7,21770,538,107,6,end,17.95,30.0,24.35
8,15,560,251,8,start,17.95,30.0,24.35
8,5266,574,251,8,end,19.15,30.0,25.55
8,5268,574,248,1,start,19.15,30.0,25.55
8,6018,576,248,1,end,19.299999999999997,30.0,25.7
8,6021,576,39,5,start,19.299999999999997,30.0,25.7
8,9772,586,39,5,end,20.049999999999997,30.0,26.45
8,9777,586,393,10,start,20.049999999999997,30.0,26.45
8,15778,602,393,10,end,21.549999999999997,30.0,27.95
8,15782,602,72,5,start,21.549999999999997,30.0,27.95
8,18782,610,72,5,end,21.549999999999997,30.0,28.7
8,18786,610,288,10,start,21.549999999999997,30.0,28.7
8,24787,626,288,10,end,23.049999999999997,30.0,28.7
8,24792,626,229,5,start,23.049999999999997,30.0,28.7
8,27793,634,229,5,end,23.799999999999997,30.0,28.7
9,42,640,378,8,start,23.799999999999997,30.0,28.7
9,4542,652,378,8,end,24.999999999999996,30.0,29.9
9,4545,652,170,4,start,24.999999999999996,30.0,29.9
9,6795,658,170,4,end,25.599999999999998,30.0,30.0
9,6798,658,124,7,start,25.599999999999998,30.0,30.0
9,10924,669,124,7,end,26.65,30.0,30.0
9,10927,669,190,5,start,26.65,30.0,30.0
9,13927,677,190,5,end,27.4,30.0,30.0
9,13930,677,346,8,start,27.4,30.0,30.0
9,18431,689,346,8,end,27.4,30.0,30.0
9,18435,689,173,3,start,27.4,30.0,30.0
9,19936,693,173,3,end,27.4,30.0,30.0
9,19939,693,381,3,start,27.4,30.0,30.0
9,21439,697,381,3,end,27.4,30.0,30.0
10,1,720,55,7,start,27.4,30.0,30.0
10,4126,731,55,7,end,28.45,30.0,30.0
10,4129,731,344,10,start,28.45,30.0,30.0
10,10129,747,344,10,end,29.95,30.0,30.0
10,10132,747,359,2,start,29.95,30.0,30.0
10,11257,750,359,2,end,30.0,30.0,30.0
10,11260,750,195,9,start,30.0,30.0,30.0
10,16511,764,195,9,end,30.0,30.0,30.0
10,16514,764,362,10,start,30.0,30.0,30.0
10,22514,780,362,10,end,30.0,30.0,30.0
10,22519,780,143,8,start,30.0,30.0,30.0
10,27019,792,143,8,end,30.0,30.0,30.0
11,14,800,133,6,start,30.0,30.0,30.0
11,3389,809,133,6,end,30.0,30.0,30.0
11,3393,809,27,4,start,30.0,30.0,30.0
11,5643,815,27,4,end,30.0,30.0,30.0
11,5647,815,371,1,start,30.0,30.0,30.0
11,6023,816,371,1,end,30.0,30.0,30.0
11,6027,816,159,7,start,30.0,30.0,30.0
11,10153,827,159,7,end,30.0,30.0,30.0
11,10159,827,38,6,start,30.0,30.0,30.0
11,13534,836,38,6,end,30.0,30.0,30.0
11,13536,836,82,10,start,30.0,30.0,30.0
11,19536,852,82,10,end,30.0,30.0,30.0
11,19539,852,144,10,start,30.0,30.0,30.0
11,25539,868,144,10,end,30.0,30.0,30.0
12,2,880,172,10,start,30.0,30.0,30.0
12,6002,896,172,10,end,30.0,30.0,30.0
12,6005,896,114,2,start,30.0,30.0,30.0
12,7130,899,114,2,end,30.0,30.0,30.0
12,7132,899,337,3,start,30.0,30.0,30.0
12,8632,903,337,3,end,30.0,30.0,30.0
12,8635,903,61,9,start,30.0,30.0,30.0
12,13885,917,61,9,end,30.0,30.0,30.0
12,13889,917,363,4,start,30.0,30.0,30.0
12,16140,923,363,4,end,30.0,30.0,30.0
12,16143,923,297,8,start,30.0,30.0,30.0
12,20643,935,297,8,end,30.0,30.0,30.0
12,20646,935,376,8,start,30.0,30.0,30.0
12,25146,947,376,8,end,30.0,30.0,30.0
13,12,960,46,7,start,30.0,30.0,30.0
13,4137,971,46,7,end,30.0,30.0,30.0
