sep=,
TaskName,TaskID,Priority,StoryPoints,RequiredSkills
RandomTask_282,282,1,4,BackEnd FrontEnd
RandomTask_249,249,1,9,BackEnd
RandomTask_168,168,1,6,Design FrontEnd
RandomTask_207,207,1,7,Design FrontEnd
RandomTask_206,206,1,4,BackEnd
RandomTask_136,136,1,3,FrontEnd
RandomTask_147,147,1,8,Design
RandomTask_11,11,1,10,BackEnd FrontEnd
RandomTask_132,132,1,7,BackEnd FrontEnd
RandomTask_205,205,1,9,BackEnd
RandomTask_232,232,1,3,BackEnd Design FrontEnd
RandomTask_186,186,1,7,BackEnd Design FrontEnd
RandomTask_396,396,1,8,Design FrontEnd
RandomTask_120,120,1,6,BackEnd Design FrontEnd
RandomTask_9,9,1,6,BackEnd Design FrontEnd
