sep=,
sprint,systemTime,modelTime,taskID,storyPoints,start/end,BackEnd Exp,FrontEnd Exp,Design Exp
1,10,0,149,3,start,0.1,0.1,0.1
1,9010,24,149,3,end,0.5499999999999999,0.1,0.5499999999999999
2,9,80,289,2,start,0.5499999999999999,0.1,0.5499999999999999
2,6010,96,289,2,end,0.8499999999999999,0.1,0.5499999999999999
2,6013,96,216,6,start,0.8499999999999999,0.1,0.5499999999999999
2,24014,144,216,6,end,1.7499999999999998,0.9999999999999999,0.5499999999999999
3,10,160,127,2,start,1.7499999999999998,0.9999999999999999,0.5499999999999999
3,6010,176,127,2,end,1.7499999999999998,1.2999999999999998,0.8499999999999999
4,17,240,354,3,start,1.7499999999999998,1.2999999999999998,0.8499999999999999
4,9017,264,354,3,end,1.7499999999999998,1.7499999999999998,1.2999999999999998
4,9020,264,23,7,start,1.7499999999999998,1.7499999999999998,1.2999999999999998
4,30021,320,23,7,end,1.7499999999999998,1.7499999999999998,2.3499999999999996
5,18,320,243,3,start,1.7499999999999998,1.7499999999999998,2.3499999999999996
5,9018,344,243,3,end,1.7499999999999998,2.1999999999999997,2.3499999999999996
5,9021,344,96,7,start,1.7499999999999998,2.1999999999999997,2.3499999999999996
5,30021,400,96,7,end,2.8,3.25,3.3999999999999995
6,18,400,67,2,start,2.8,3.25,3.3999999999999995
6,6018,416,67,2,end,3.0999999999999996,3.55,3.6999999999999993
6,6021,416,40,6,start,3.0999999999999996,3.55,3.6999999999999993
6,24021,464,40,6,end,3.9999999999999996,4.449999999999999,4.6
7,41,480,389,3,start,3.9999999999999996,4.449999999999999,4.6
7,9041,504,389,3,end,3.9999999999999996,4.8999999999999995,5.05
7,9044,504,340,10,start,3.9999999999999996,4.8999999999999995,5.05
7,18794,530,340,10,end,3.9999999999999996,4.8999999999999995,6.55
8,3,560,351,2,start,3.9999999999999996,4.8999999999999995,6.55
8,1878,565,351,2,end,3.9999999999999996,4.8999999999999995,6.85
8,1880,565,75,5,start,3.9999999999999996,4.8999999999999995,6.85
