sep=,
sprint,velocity,storyPoints,duration,idlePeriod
1,1.409707351891506,79,56,24
2,1.3732605366535722,110,80,0
3,1.2614487926727727,101,80,0
4,1.1855635794868382,95,80,0
5,1.0864859464499799,87,80,0
6,1.326577326452472,85,64,16
7,1.4017913320256115,101,72,8
8,1.3241613644691694,106,80,0
9,1.783675799086758,100,56,24
10,2.5575602205668955,141,55,25
11,2.676003834274151,201,75,5
12,2.6500409668168783,207,78,2
13,2.6293612000674194,208,79,1
14,2.6976551151691224,208,77,3
15,2.741434086017832,214,78,2
16,2.5737697263983565,147,57,23
