sep=,
TaskName,TaskID,Priority,StoryPoints,PerformerID,RequiredSkills
RandomTask_52,52,1,1,4,BackEnd Design FrontEnd
RandomTask_272,272,1,9,1,Design FrontEnd
RandomTask_160,160,1,9,3,Design
RandomTask_334,334,1,10,2,BackEnd FrontEnd
RandomTask_315,315,1,3,3,FrontEnd
RandomTask_312,312,1,4,6,BackEnd Design FrontEnd
RandomTask_391,391,1,2,2,Design
RandomTask_84,84,1,6,1,BackEnd Design
RandomTask_187,187,1,3,1,BackEnd FrontEnd
RandomTask_165,165,1,7,2,Design
RandomTask_392,392,1,9,3,FrontEnd
RandomTask_260,260,1,3,2,Design
RandomTask_317,317,1,6,6,Design FrontEnd
RandomTask_75,75,1,5,1,BackEnd
RandomTask_237,237,1,3,1,BackEnd
RandomTask_291,291,1,4,4,BackEnd Design FrontEnd
RandomTask_326,326,1,2,1,FrontEnd
RandomTask_50,50,1,9,7,BackEnd Design FrontEnd
RandomTask_141,141,1,8,3,Design
RandomTask_264,264,1,7,2,BackEnd FrontEnd
RandomTask_329,329,1,4,4,BackEnd FrontEnd
RandomTask_99,99,1,4,2,FrontEnd
RandomTask_68,68,1,7,3,BackEnd Design
RandomTask_116,116,1,10,1,FrontEnd
RandomTask_192,192,1,6,6,BackEnd Design
RandomTask_21,21,1,5,4,FrontEnd
RandomTask_270,270,1,8,7,BackEnd Design
