sep=,
TaskName,TaskID,Priority,StoryPoints,PerformerID,RequiredSkills
RandomTask_117,117,1,1,2,FrontEnd
RandomTask_306,306,1,2,3,BackEnd
RandomTask_302,302,1,2,1,Design
RandomTask_394,394,1,3,4,FrontEnd
RandomTask_173,173,1,3,6,Design
RandomTask_381,381,1,3,3,Design
RandomTask_217,217,1,4,1,BackEnd Design
RandomTask_348,348,1,6,7,FrontEnd
RandomTask_265,265,1,6,2,FrontEnd
RandomTask_153,153,1,4,6,BackEnd Design
RandomTask_170,170,1,4,3,BackEnd Design
RandomTask_398,398,1,7,4,FrontEnd
RandomTask_274,274,1,4,1,BackEnd
RandomTask_373,373,1,5,6,Design
RandomTask_346,346,1,8,7,FrontEnd
RandomTask_304,304,1,8,2,FrontEnd
RandomTask_2,2,1,6,3,Design
RandomTask_58,58,1,1,7,BackEnd Design FrontEnd
RandomTask_101,101,1,6,1,BackEnd
RandomTask_350,350,1,2,2,Design FrontEnd
RandomTask_8,8,1,2,7,Design FrontEnd
RandomTask_78,78,1,9,4,FrontEnd
RandomTask_378,378,1,8,6,BackEnd Design
RandomTask_358,358,1,3,2,Design FrontEnd
RandomTask_299,299,1,8,3,Design
RandomTask_293,293,1,5,7,BackEnd FrontEnd
RandomTask_102,102,1,9,1,Design
RandomTask_70,70,1,5,4,BackEnd FrontEnd
RandomTask_223,223,1,9,6,BackEnd Design
RandomTask_28,28,1,6,2,BackEnd FrontEnd
RandomTask_87,87,1,9,3,Design
RandomTask_393,393,1,10,1,BackEnd Design
RandomTask_230,230,1,9,7,BackEnd FrontEnd
RandomTask_229,229,1,10,6,BackEnd
RandomTask_276,276,1,10,4,Design FrontEnd
RandomTask_251,251,1,8,2,BackEnd Design FrontEnd
RandomTask_135,135,1,10,3,BackEnd Design
RandomTask_361,361,1,4,2,BackEnd Design FrontEnd
RandomTask_250,250,1,9,1,BackEnd Design FrontEnd
RandomTask_278,278,1,9,7,BackEnd Design FrontEnd
RandomTask_361,361,1,6,4,BackEnd Design FrontEnd
RandomTask_308,308,1,10,6,BackEnd Design FrontEnd
