sep=,
sprint,time,taskID,storyPoints,start/end,BackEnd Exp,FrontEnd Exp,Design Exp
1,31,4,5,start,1.5,1.0,1.0
1,15036,4,5,end,1.5,2.5,1.0
1,15058,3,5,start,1.5,2.5,1.0
1,30060,3,5,end,3.0,4.0,1.0
2,10,15,3,start,3.0,4.0,1.0
2,9024,15,3,end,3.0,4.9,1.0
3,27,21,10,start,3.0,4.9,1.0
3,30040,21,10,end,3.0,7.9,4.0
4,19,28,6,start,3.0,7.9,4.0
4,9030,28,6,end,4.8,9.7,4.0
5,16,29,10,start,4.8,9.7,4.0
5,9793,29,10,end,4.8,12.7,4.0
6,16,36,3,start,4.8,12.7,4.0
6,3033,36,3,end,4.8,13.6,4.0
6,3033,47,5,start,4.8,13.6,4.0
6,10550,47,5,end,4.8,15.1,5.5
6,10560,42,8,start,4.8,15.1,5.5
6,18441,42,8,end,4.8,17.5,7.9
7,15,64,1,start,4.8,17.5,7.9
7,765,64,1,end,4.8,17.8,7.9
7,778,59,5,start,4.8,17.8,7.9
7,5657,59,5,end,4.8,19.3,7.9
7,5668,54,8,start,4.8,19.3,7.9
7,13548,54,8,end,4.8,21.7,7.9
7,13559,61,10,start,4.8,21.7,7.9
7,21076,61,10,end,4.8,24.7,10.9
8,22,90,1,start,4.8,24.7,10.9
8,772,90,1,end,5.1,25.0,10.9
8,785,73,7,start,5.1,25.0,10.9
8,4915,73,7,end,5.1,27.1,10.9
8,4926,76,9,start,5.1,27.1,10.9
8,10180,76,9,end,5.1,29.8,10.9
8,10189,77,10,start,5.1,29.8,10.9
8,17695,77,10,end,8.1,30.0,10.9
9,21,114,2,start,8.1,30.0,10.9
9,1160,114,2,end,8.1,30.0,10.9
9,1170,119,6,start,8.1,30.0,10.9
9,4549,119,6,end,8.1,30.0,10.9
9,4559,101,9,start,8.1,30.0,10.9
9,9816,101,9,end,8.1,30.0,10.9
9,9827,102,9,start,8.1,30.0,10.9
9,15081,102,9,end,8.1,30.0,10.9
9,15091,98,10,start,8.1,30.0,10.9
9,22970,98,10,end,11.1,30.0,13.9
10,38,129,6,start,11.1,30.0,13.9
10,3417,129,6,end,11.1,30.0,13.9
10,3426,132,6,start,11.1,30.0,13.9
10,7944,132,6,end,11.1,30.0,15.7
10,7944,127,8,start,11.1,30.0,15.7
10,13948,127,8,end,13.5,30.0,15.7
10,13948,152,10,start,13.5,30.0,15.7
10,23713,152,10,end,16.5,30.0,18.7
11,0,159,5,start,16.5,30.0,18.7
11,3019,159,5,end,16.5,30.0,18.7
11,3029,174,5,start,16.5,30.0,18.7
11,6048,174,5,end,16.5,30.0,18.7
11,6048,177,6,start,16.5,30.0,18.7
11,9438,177,6,end,16.5,30.0,18.7
11,9452,180,6,start,16.5,30.0,18.7
11,12831,180,6,end,16.5,30.0,18.7
11,12837,181,5,start,16.5,30.0,18.7
11,16591,181,5,end,18.0,30.0,20.2
11,16602,175,10,start,18.0,30.0,20.2
11,22608,175,10,end,18.0,30.0,23.2
12,66,243,3,start,18.0,30.0,23.2
12,1570,243,3,end,18.0,30.0,23.2
12,1577,208,8,start,18.0,30.0,23.2
12,6081,208,8,end,18.0,30.0,23.2
12,6088,230,8,start,18.0,30.0,23.2
12,10591,230,8,end,18.0,30.0,23.2
12,10596,200,10,start,18.0,30.0,23.2
12,16600,200,10,end,18.0,30.0,23.2
12,16600,240,1,start,18.0,30.0,23.2
12,16991,240,1,end,18.0,30.0,23.5
12,16991,196,1,start,18.0,30.0,23.5
12,17380,196,1,end,18.3,30.0,23.8
12,17380,213,3,start,18.3,30.0,23.8
12,18880,213,3,end,18.3,30.0,24.7
12,18890,199,6,start,18.3,30.0,24.7
12,23020,199,6,end,20.1,30.0,26.5
12,23030,212,10,start,20.1,30.0,26.5
12,29050,212,10,end,20.1,30.0,29.5
13,56,285,6,start,20.1,30.0,29.5
13,3436,285,6,end,20.1,30.0,29.5
13,3445,262,7,start,20.1,30.0,29.5
13,7575,262,7,end,20.1,30.0,29.5
13,7585,246,9,start,20.1,30.0,29.5
13,12839,246,9,end,20.1,30.0,29.5
13,12852,288,10,start,20.1,30.0,29.5
13,18856,288,10,end,20.1,30.0,29.5
13,18867,287,9,start,20.1,30.0,29.5
13,24134,287,9,end,20.1,30.0,30.0
13,24134,277,10,start,20.1,30.0,30.0
13,30134,277,10,end,23.1,30.0,30.0
14,0,293,7,start,23.1,30.0,30.0
14,4142,293,7,end,23.1,30.0,30.0
14,4142,295,10,start,23.1,30.0,30.0
14,10144,295,10,end,26.1,30.0,30.0
