sep=,
TaskName,TaskID,Priority,StoryPoints,PerformerID,RequiredSkills
RandomTask_279,279,1,1,1,BackEnd
RandomTask_281,281,1,1,3,Design
RandomTask_290,290,1,1,6,Design
RandomTask_263,263,1,2,2,BackEnd
RandomTask_266,266,1,2,7,BackEnd FrontEnd
RandomTask_247,247,1,3,1,Design
RandomTask_257,257,1,4,3,Design
RandomTask_272,272,1,3,7,BackEnd FrontEnd
RandomTask_278,278,1,4,6,BackEnd
RandomTask_285,285,1,6,4,FrontEnd
RandomTask_284,284,1,6,2,BackEnd
RandomTask_265,265,1,4,7,BackEnd FrontEnd
RandomTask_291,291,1,6,1,Design
RandomTask_254,254,1,7,3,Design
RandomTask_250,250,1,7,6,BackEnd
RandomTask_268,268,1,4,7,BackEnd FrontEnd
RandomTask_262,262,1,7,4,FrontEnd
RandomTask_269,269,1,7,1,Design
RandomTask_248,248,1,9,2,BackEnd
RandomTask_249,249,1,1,2,BackEnd Design FrontEnd
RandomTask_283,283,1,5,7,BackEnd FrontEnd
RandomTask_273,273,1,1,2,BackEnd Design FrontEnd
RandomTask_280,280,1,2,2,Design FrontEnd
RandomTask_258,258,1,9,6,BackEnd
RandomTask_259,259,1,10,3,Design
RandomTask_246,246,1,9,4,FrontEnd
RandomTask_256,256,1,3,2,Design FrontEnd
RandomTask_264,264,1,3,3,Design FrontEnd
RandomTask_267,267,1,7,7,BackEnd FrontEnd
RandomTask_274,274,1,9,1,BackEnd Design
RandomTask_282,282,1,3,2,BackEnd Design FrontEnd
RandomTask_289,289,1,3,3,Design FrontEnd
RandomTask_253,253,1,4,2,Design FrontEnd
RandomTask_251,251,1,10,6,BackEnd Design
RandomTask_275,275,1,4,3,BackEnd Design FrontEnd
RandomTask_288,288,1,10,4,FrontEnd
RandomTask_270,270,1,8,7,BackEnd FrontEnd
RandomTask_276,276,1,5,2,BackEnd Design FrontEnd
RandomTask_286,286,1,10,1,BackEnd Design
RandomTask_292,292,1,6,6,Design FrontEnd
RandomTask_261,261,1,8,3,Design FrontEnd
RandomTask_287,287,1,9,4,Design FrontEnd
RandomTask_260,260,1,9,7,BackEnd FrontEnd
RandomTask_214,214,1,8,2,BackEnd Design FrontEnd
RandomTask_252,252,1,9,1,BackEnd Design FrontEnd
RandomTask_255,255,1,10,6,BackEnd Design FrontEnd
RandomTask_271,271,1,10,3,BackEnd FrontEnd
RandomTask_277,277,1,10,4,BackEnd FrontEnd
